Date,Event,Fighter1,Fighter2,Method,Note,Result,Round,Time,Time (secs),Weight class
2007-09-08,UFC 75: Champion vs. Champion,Houston Alexander,Alessio Sakara,KO (knee and punches),-,def.,1.0,1:01,61,Light Heavyweight
2007-09-08,UFC 75: Champion vs. Champion,Michael Bisping,Matt Hamill,"Decision (split) (29–28, 27–30, 29–28)",-,def.,3.0,5:00,300,Light Heavyweight
2007-09-08,UFC 75: Champion vs. Champion,Quinton Jackson,Dan Henderson,"Decision (unanimous) (48–47, 49–46, 49–46)",[a],def.,5.0,5:00,300,Light Heavyweight
2007-09-08,UFC 75: Champion vs. Champion,Marcus Davis,Paul Taylor,Submission (armbar),-,def.,1.0,4:14,254,Welterweight
2007-09-19,UFC Fight Night: Thomas vs. Florian,Luke Cummo,Edilberto de Oliveira,TKO (punches),-,def.,1.0,1:45,105,Welterweight
2007-09-19,UFC Fight Night: Thomas vs. Florian,Cole Miller,Leonard Garcia,"Decision (unanimous) (30–27, 29–28, 30–27)",-,def.,3.0,5:00,300,Lightweight
2007-09-19,UFC Fight Night: Thomas vs. Florian,Thiago Alves,Kuniyoshi Hironaka,TKO (punch and knee),-,def.,2.0,4:04,244,Welterweight
2007-09-19,UFC Fight Night: Thomas vs. Florian,Nate Quarry,Pete Sell,KO (punch),-,def.,3.0,0:44,44,Middleweight
2007-09-19,UFC Fight Night: Thomas vs. Florian,Dustin Hazelett,Jonathan Goulet,Submission (armbar),-,def.,1.0,1:14,74,Welterweight
2007-09-19,UFC Fight Night: Thomas vs. Florian,Nate Diaz,Junior Assuncao,Submission (guillotine choke),-,def.,1.0,4:10,250,Lightweight
2007-09-19,UFC Fight Night: Thomas vs. Florian,Chris Leben,Terry Martin,KO (punch),[a],def.,3.0,3:56,236,Middleweight
2007-09-19,UFC Fight Night: Thomas vs. Florian,Kenny Florian,Din Thomas,Submission (rear-naked choke),-,def.,1.0,4:31,271,Lightweight
2007-09-19,UFC Fight Night: Thomas vs. Florian,Gray Maynard,Joe Veres,KO (punch),-,def.,1.0,0:09,9,Lightweight
2007-09-22,UFC 76: Knockout,Matt Wiman,Michihiro Omigawa,"Decision (unanimous) (29–28, 30–27, 29–28)",-,def.,3.0,5:00,300,Lightweight
2007-09-22,UFC 76: Knockout,Jeremy Stephens,Diego Saraiva,"Decision (unanimous) (30–27, 30–27, 30–27)",-,def.,3.0,5:00,300,Lightweight
2007-09-22,UFC 76: Knockout,Rich Clementi,Anthony Johnson,Submission (rear-naked choke),-,def.,2.0,3:05,185,Catchweight (177 lbs)
2007-09-22,UFC 76: Knockout,Lyoto Machida,Kazuhiro Nakamura,"Decision (unanimous) (30–27, 30–27, 30–27)",[a],def.,3.0,5:00,300,Light Heavyweight
2007-09-22,UFC 76: Knockout,Christian Wellisch,Scott Junk,Submission (heel hook),-,def.,1.0,3:19,199,Heavyweight
2007-09-22,UFC 76: Knockout,Jon Fitch,Diego Sanchez,"Decision (split) (30–27, 28–29, 29–28)",-,def.,3.0,5:00,300,Welterweight
2007-09-22,UFC 76: Knockout,Keith Jardine,Chuck Liddell,"Decision (split) (29–28, 28–29, 29–28)",-,def.,3.0,5:00,300,Light Heavyweight
2007-09-22,UFC 76: Knockout,Forrest Griffin,Maurício Rua,Submission (rear-naked choke),-,def.,3.0,4:45,285,Light Heavyweight
2007-09-22,UFC 76: Knockout,Tyson Griffin,Thiago Tavares,"Decision (unanimous) (29–28, 30–27, 29–28)",-,def.,3.0,5:00,300,Lightweight
2007-10-20,UFC 77: Hostile Territory,Tim Sylvia,Brandon Vera,"Decision (unanimous) (29–27, 29–28, 29–28)",-,def.,3.0,5:00,300,Heavyweight
2007-10-20,UFC 77: Hostile Territory,Demian Maia,Ryan Jensen,Submission (rear-naked choke),[b],def.,1.0,2:40,160,Middleweight
2007-10-20,UFC 77: Hostile Territory,Stephan Bonnar,Eric Schafer,TKO (punches),-,def.,2.0,2:47,167,Light Heavyweight
2007-10-20,UFC 77: Hostile Territory,Alvin Robinson,Jorge Gurgel,"Decision (unanimous) (29–28, 29–27, 29–27)",-,def.,3.0,5:00,300,Lightweight
2007-10-20,UFC 77: Hostile Territory,Anderson Silva (c),Rich Franklin,TKO (knees),[a],def.,2.0,1:07,67,Middleweight
2007-10-20,UFC 77: Hostile Territory,Matt Grice,Jason Black,"Decision (split) (28–29, 29–28, 29–28)",-,def.,3.0,5:00,300,Lightweight
2007-10-20,UFC 77: Hostile Territory,Alan Belcher,Kalib Starnes,TKO (doctor stoppage),-,def.,2.0,1:39,99,Middleweight
2007-10-20,UFC 77: Hostile Territory,Yushin Okami,Jason MacDonald,"Decision (unanimous) (30–27, 30–27, 30–27)",-,def.,3.0,5:00,300,Middleweight
2007-10-20,UFC 77: Hostile Territory,Josh Burkman,Forrest Petz,"Decision (split) (29–28, 29–28, 28–29)",-,def.,3.0,5:00,300,Welterweight
2007-11-17,UFC 78: Validation,Thiago Alves,Chris Lytle,TKO (doctor stoppage),-,def.,2.0,5:00,300,Welterweight
2007-11-17,UFC 78: Validation,Akihiro Gono,Tamdan McCrory,Submission (armbar),-,def.,2.0,3:19,199,Welterweight
2007-11-17,UFC 78: Validation,Ed Herman,Joe Doerksen,KO (punch),-,def.,3.0,0:39,39,Middleweight
2007-11-17,UFC 78: Validation,Joe Lauzon,Jason Reinhardt,Submission (rear-naked choke),[a],def.,1.0,1:14,74,Lightweight
2007-11-17,UFC 78: Validation,Karo Parisyan,Ryo Chonan,"Decision (unanimous) (30–27, 30–27, 30–27)",-,def.,3.0,5:00,300,Welterweight
2007-11-17,UFC 78: Validation,Thiago Silva,Houston Alexander,TKO (punches),-,def.,1.0,3:25,205,Light Heavyweight
2007-11-17,UFC 78: Validation,Rashad Evans,Michael Bisping,"Decision (split) (29–28, 28–29, 29–28)",-,def.,3.0,5:00,300,Light Heavyweight
2007-11-17,UFC 78: Validation,Marcus Aurélio,Luke Caudillo,TKO (punches),-,def.,1.0,4:29,269,Lightweight
2007-11-17,UFC 78: Validation,Frankie Edgar,Spencer Fisher,"Decision (unanimous) (30–27, 30–27, 30–26)",-,def.,3.0,5:00,300,Lightweight
2007-12-08,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,Troy Mandaloniz,Richie Hightower,TKO (punches),[c],def.,1.0,4:20,260,Welterweight
2007-12-08,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,Roman Mitichyan,Dorian Price,Submission (ankle lock),-,def.,1.0,0:23,23,Welterweight
2007-12-08,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,Matt Arroyo,John Kolosci,Submission (armbar),[b],def.,1.0,4:42,282,Welterweight
2007-12-08,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,Ben Saunders,Dan Barrera,"Decision (unanimous) (30–27, 29–28, 30–27)",-,def.,3.0,5:00,300,Welterweight
2007-12-08,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,Roger Huerta,Clay Guida,Submission (rear-naked choke),-,def.,3.0,0:51,51,Lightweight
2007-12-08,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,Jonathan Goulet,Paul Georgieff,Technical Submission (rear-naked choke),-,def.,1.0,4:42,282,Welterweight
2007-12-08,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,George Sotiropoulos,Billy Miles,Submission (rear-naked choke),-,def.,1.0,1:36,96,Welterweight
2007-12-08,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,Jon Koppenhaver,Jared Rollins,TKO (punches),-,def.,3.0,2:01,121,Welterweight
2007-12-08,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,Mac Danzig,Tom Speer,Submission (rear-naked choke),[a],def.,1.0,2:01,121,Welterweight
2007-12-29,UFC 79: Nemesis,Georges St-Pierre,Matt Hughes,Verbal Submission (armbar),[a],def.,2.0,4:54,294,Welterweight
2007-12-29,UFC 79: Nemesis,Chuck Liddell,Wanderlei Silva,"Decision (unanimous) (29–28, 30–27, 30–27)",-,def.,3.0,5:00,300,Light Heavyweight
2007-12-29,UFC 79: Nemesis,Rich Clementi,Melvin Guillard,Submission (rear-naked choke),-,def.,1.0,4:40,280,Lightweight
2007-12-29,UFC 79: Nemesis,Eddie Sanchez,Soa Palelei,TKO (punches),-,def.,3.0,3:24,204,Heavyweight
2007-12-29,UFC 79: Nemesis,Manvel Gamburyan,Nate Mohr,Submission (ankle lock),[b],def.,1.0,1:31,91,Lightweight
2007-12-29,UFC 79: Nemesis,Dean Lister,Jordan Radev,"Decision (unanimous) (30–27, 30–27, 30–27)",-,def.,3.0,5:00,300,Middleweight
2007-12-29,UFC 79: Nemesis,Mark Bocek,Doug Evans,"Decision (unanimous) (29–28, 29–28, 29–28)",-,def.,3.0,5:00,300,Lightweight
2007-12-29,UFC 79: Nemesis,Lyoto Machida,Rameau Thierry Sokoudjou,Submission (arm-triangle choke),-,def.,2.0,4:20,260,Light Heavyweight
2007-12-29,UFC 79: Nemesis,James Irvin,Luiz Cane,Disqualification (illegal knee),-,def.,1.0,1:51,111,Light Heavyweight
2007-12-29,UFC 79: Nemesis,Roan Carneiro,Tony DeSouza,TKO (punches),-,def.,2.0,3:33,213,Welterweight
2008-01-19,UFC 80: Rapid Fire,Wilson Gouveia,Jason Lambert,KO (punch),-,def.,2.0,0:37,37,Light Heavyweight
2008-01-19,UFC 80: Rapid Fire,B.J. Penn,Joe Stevenson,Submission (rear-naked choke),[a],def.,2.0,4:02,242,Lightweight
2008-01-19,UFC 80: Rapid Fire,Fabrício Werdum,Gabriel Gonzaga,TKO (punches),-,def.,2.0,4:34,274,Heavyweight
2008-01-19,UFC 80: Rapid Fire,Marcus Davis,Jess Liaudin,KO (punch),-,def.,1.0,1:04,64,Welterweight
2008-01-19,UFC 80: Rapid Fire,Jorge Rivera,Kendall Grove,TKO (punches),-,def.,1.0,1:20,80,Middleweight
2008-01-19,UFC 80: Rapid Fire,Paul Kelly,Paul Taylor,"Decision (unanimous) (30–27, 30–27, 30–27)",[c],def.,3.0,5:00,300,Welterweight
2008-01-19,UFC 80: Rapid Fire,Antoni Hardonk,Colin Robinson,TKO (leg kicks),[d],def.,1.0,0:17,17,Heavyweight
2008-01-19,UFC 80: Rapid Fire,Sam Stout,Per Eklund,"Decision (unanimous) (29–27, 30–27, 30–27)",-,def.,3.0,5:00,300,Lightweight
2008-01-19,UFC 80: Rapid Fire,Alessio Sakara,James Lee,TKO (punches),[b],def.,1.0,1:30,90,Light Heavyweight
2008-01-23,UFC Fight Night: Swick vs. Burkman,Nate Diaz,Alvin Robinson,Submission (triangle choke),-,def.,1.0,3:39,219,Lightweight
2008-01-23,UFC Fight Night: Swick vs. Burkman,Kurt Pellegrino,Alberto Crane,TKO (punches),[a],def.,2.0,1:55,115,Lightweight
2008-01-23,UFC Fight Night: Swick vs. Burkman,Mike Swick,Josh Burkman,"Decision (majority) (29–28, 29–28, 29–29)",-,def.,3.0,5:00,300,Welterweight
2008-01-23,UFC Fight Night: Swick vs. Burkman,Thiago Tavares,Michihiro Omigawa,"Decision (unanimous) (30–27, 29–28, 30–27)",-,def.,3.0,5:00,300,Lightweight
2008-01-23,UFC Fight Night: Swick vs. Burkman,Gray Maynard,Dennis Siver,"Decision (unanimous) (29–28, 30–27, 29–28)",-,def.,3.0,5:00,300,Lightweight
2008-01-23,UFC Fight Night: Swick vs. Burkman,Jeremy Stephens,Cole Miller,TKO (punches and elbows),-,def.,2.0,4:44,284,Lightweight
2008-01-23,UFC Fight Night: Swick vs. Burkman,Matt Wiman,Justin Buchholz,Submission (rear-naked choke),-,def.,1.0,2:56,176,Lightweight
2008-01-23,UFC Fight Night: Swick vs. Burkman,Patrick Côté,Drew McFedries,TKO (punches),-,def.,1.0,1:44,104,Middleweight
2008-01-23,UFC Fight Night: Swick vs. Burkman,Corey Hill,Joe Veres,TKO (punches),-,def.,2.0,0:37,37,Lightweight
2008-02-02,UFC 81: Breaking Point,Antônio Rodrigo Nogueira,Tim Sylvia,Submission (guillotine choke),[a],def.,3.0,1:28,88,Heavyweight
2008-02-02,UFC 81: Breaking Point,Frank Mir,Brock Lesnar,Submission (kneebar),[b],def.,1.0,1:30,90,Heavyweight
2008-02-02,UFC 81: Breaking Point,Nate Marquardt,Jeremy Horn,Submission (guillotine choke),-,def.,2.0,1:37,97,Middleweight
2008-02-02,UFC 81: Breaking Point,Ricardo Almeida,Rob Yundt,Submission (guillotine choke),-,def.,1.0,1:08,68,Middleweight
2008-02-02,UFC 81: Breaking Point,Tyson Griffin,Gleison Tibau,"Decision (unanimous) (30–27, 30–27, 30–27)",-,def.,3.0,5:00,300,Lightweight
2008-02-02,UFC 81: Breaking Point,Chris Lytle,Kyle Bradley,KO (punches),-,def.,1.0,0:33,33,Welterweight
2008-02-02,UFC 81: Breaking Point,Marvin Eastman,Terry Martin,"Decision (unanimous) (29–28, 30–27, 30–27)",-,def.,3.0,5:00,300,Middleweight
2008-02-02,UFC 81: Breaking Point,Tim Boetsch,David Heath,TKO (slam and punches),-,def.,1.0,4:52,292,Light Heavyweight
2008-02-02,UFC 81: Breaking Point,Rob Emerson,Keita Nakamura,"Decision (split) (30–27, 28–29, 30–27)",-,def.,3.0,5:00,300,Lightweight
2008-03-01,UFC 82: Pride of a Champion,Luigi Fioravanti,Luke Cummo,"Decision (unanimous) (30–27, 30–27, 30–27)",-,def.,3.0,5:00,300,Welterweight
2008-03-01,UFC 82: Pride of a Champion,Josh Koscheck,Dustin Hazelett,TKO (head kick and punches),-,def.,2.0,1:24,84,Welterweight
2008-03-01,UFC 82: Pride of a Champion,Jorge Gurgel,John Halverson,"Decision (unanimous) (29–28, 29–28, 30–27)",-,def.,3.0,5:00,300,Lightweight
2008-03-01,UFC 82: Pride of a Champion,Andrei Arlovski,Jake O'Brien,TKO (punches),-,def.,2.0,4:17,257,Heavyweight
2008-03-01,UFC 82: Pride of a Champion,Diego Sanchez,David Bielkheden,Submission (strikes),-,def.,1.0,4:43,283,Welterweight
2008-03-01,UFC 82: Pride of a Champion,Yushin Okami,Evan Tanner,KO (knee),-,def.,2.0,3:00,180,Middleweight
2008-03-01,UFC 82: Pride of a Champion,Heath Herring,Cheick Kongo,"Decision (split) (29–28, 28–29, 29–28)",-,def.,3.0,5:00,300,Heavyweight
2008-03-01,UFC 82: Pride of a Champion,Anderson Silva (UFC Champion),Dan Henderson (Pride Champion),Submission (rear-naked choke),[a],def.,2.0,4:52,292,Middleweight
2008-03-01,UFC 82: Pride of a Champion,Jon Fitch,Chris Wilson,"Decision (unanimous) (30–27, 29–28, 30–27)",-,def.,3.0,5:00,300,Welterweight
2008-03-01,UFC 82: Pride of a Champion,Chris Leben,Alessio Sakara,TKO (punches),-,def.,1.0,3:16,196,Middleweight
2008-04-02,UFC Fight Night: Florian vs. Lauzon,Clay Guida,Samy Schiavo,TKO (punches),-,def.,1.0,4:15,255,Lightweight
2008-04-02,UFC Fight Night: Florian vs. Lauzon,Manvel Gamburyan,Jeff Cox,Submission (guillotine choke),-,def.,1.0,1:41,101,Lightweight
2008-04-02,UFC Fight Night: Florian vs. Lauzon,Gray Maynard,Frankie Edgar,"Decision (unanimous) (30–27, 30–27, 30–27)",-,def.,3.0,5:00,300,Lightweight
2008-04-02,UFC Fight Night: Florian vs. Lauzon,Anthony Johnson,Tom Speer,KO (punch),[a],def.,1.0,0:51,51,Welterweight
2008-04-02,UFC Fight Night: Florian vs. Lauzon,George Sotiropoulos,Roman Mitichyan,TKO (punches),-,def.,2.0,2:24,144,Welterweight
2008-04-02,UFC Fight Night: Florian vs. Lauzon,Thiago Alves,Karo Parisyan,TKO (punches),-,def.,2.0,0:34,34,Welterweight
2008-04-02,UFC Fight Night: Florian vs. Lauzon,Marcus Aurelio,Ryan Roberts,Submission (armbar),-,def.,1.0,0:16,16,Lightweight
2008-04-02,UFC Fight Night: Florian vs. Lauzon,Matt Hamill,Tim Boetsch,TKO (punches),-,def.,2.0,1:25,85,Light Heavyweight
2008-04-02,UFC Fight Night: Florian vs. Lauzon,Josh Neer,Din Thomas,"Decision (unanimous) (30–27, 30–27, 30–27)",-,def.,3.0,5:00,300,Lightweight
2008-04-02,UFC Fight Night: Florian vs. Lauzon,Kenny Florian,Joe Lauzon,TKO (punches),-,def.,2.0,3:28,208,Lightweight
2008-04-02,UFC Fight Night: Florian vs. Lauzon,James Irvin,Houston Alexander,TKO (superman punch and punches),-,def.,1.0,0:08,8,Light Heavyweight
2008-04-02,UFC Fight Night: Florian vs. Lauzon,Nate Diaz,Kurt Pellegrino,Submission (triangle choke),-,def.,2.0,3:06,186,Lightweight
2008-04-19,UFC 83: Serra vs. St-Pierre 2,Jonathan Goulet,Kuniyoshi Hironaka,TKO (punches),-,def.,2.0,2:07,127,Welterweight
2008-04-19,UFC 83: Serra vs. St-Pierre 2,Cain Velasquez,Brad Morris,TKO (punches),-,def.,1.0,2:10,130,Heavyweight
2008-04-19,UFC 83: Serra vs. St-Pierre 2,Demian Maia,Ed Herman,Technical Submission (mounted triangle choke),-,def.,2.0,2:27,147,Middleweight
2008-04-19,UFC 83: Serra vs. St-Pierre 2,Georges St-Pierre (ic),Matt Serra (c),TKO (knees to the body),[a],def.,2.0,4:45,285,Welterweight
2008-04-19,UFC 83: Serra vs. St-Pierre 2,Rich Clementi,Sam Stout,"Decision (split) (29–27, 28–29, 29–28)",-,def.,3.0,5:00,300,Lightweight
2008-04-19,UFC 83: Serra vs. St-Pierre 2,Jason MacDonald,Joe Doerksen,TKO (elbows),-,def.,2.0,0:56,56,Middleweight
2008-04-19,UFC 83: Serra vs. St-Pierre 2,Jason Day,Alan Belcher,TKO (punches),-,def.,1.0,3:58,238,Middleweight
2008-04-19,UFC 83: Serra vs. St-Pierre 2,Michael Bisping,Charles McCarthy,TKO (arm injury),-,def.,1.0,5:00,300,Middleweight
2008-04-19,UFC 83: Serra vs. St-Pierre 2,Nate Quarry,Kalib Starnes,"Decision (unanimous) (30–26, 30–27, 30–24)",-,def.,3.0,5:00,300,Middleweight
2008-04-19,UFC 83: Serra vs. St-Pierre 2,Rich Franklin,Travis Lutter,TKO (punches),-,def.,2.0,3:01,181,Middleweight
2008-04-19,UFC 83: Serra vs. St-Pierre 2,Mac Danzig,Mark Bocek,Submission (rear-naked choke),-,def.,3.0,3:48,228,Lightweight
2008-05-24,UFC 84: Ill Will,Shane Carwin,Christian Wellisch,TKO (punch),-,def.,1.0,0:44,44,Heavyweight
2008-05-24,UFC 84: Ill Will,B.J. Penn (c),Sean Sherk,TKO (flying knee and punches),[a],def.,3.0,5:00,300,Lightweight
2008-05-24,UFC 84: Ill Will,Wanderlei Silva,Keith Jardine,KO (punches),-,def.,1.0,0:36,36,Light Heavyweight
2008-05-24,UFC 84: Ill Will,Goran Reljic,Wilson Gouveia,TKO (punches),-,def.,2.0,3:15,195,Light Heavyweight
2008-05-24,UFC 84: Ill Will,Lyoto Machida,Tito Ortiz,"Decision (unanimous) (30–27, 30–27, 30–27)",-,def.,3.0,5:00,300,Light Heavyweight
2008-05-24,UFC 84: Ill Will,Thiago Silva,Antonio Mendes,Submission (strikes),-,def.,1.0,2:24,144,Light Heavyweight
2008-05-24,UFC 84: Ill Will,Rousimar Palhares,Ivan Salaverry,Submission (armbar),-,def.,1.0,2:36,156,Middleweight
2008-05-24,UFC 84: Ill Will,Rameau Thierry Sokoudjou,Kazuhiro Nakamura,TKO (leg injury),-,def.,1.0,5:00,300,Light Heavyweight
2008-05-24,UFC 84: Ill Will,Rich Clementi,Terry Etim,"Decision (unanimous) (29–28, 29–28, 29–28)",-,def.,3.0,5:00,300,Lightweight
2008-05-24,UFC 84: Ill Will,Yoshiyuki Yoshida,Jon Koppenhaver,Technical Submission (anaconda choke),-,def.,1.0,0:56,56,Welterweight
2008-05-24,UFC 84: Ill Will,Dong Hyun Kim,Jason Tan,TKO (elbows),-,def.,3.0,0:25,25,Welterweight
2008-06-07,UFC 85: Bedlam,Kevin Burns,Roan Carneiro,Submission (triangle choke),-,def.,2.0,3:50,230,Welterweight
2008-06-07,UFC 85: Bedlam,Fabrício Werdum,Brandon Vera,TKO (punches),-,def.,1.0,4:40,280,Heavyweight
2008-06-07,UFC 85: Bedlam,Thiago Alves,Matt Hughes,TKO (flying knee and strikes),-,def.,2.0,1:02,62,Catchweight (174 lbs)
2008-06-07,UFC 85: Bedlam,Michael Bisping,Jason Day,TKO (punches),-,def.,1.0,3:42,222,Middleweight
2008-06-07,UFC 85: Bedlam,Mike Swick,Marcus Davis,"Decision (unanimous) (29–27, 29–27, 29–27)",[a],def.,3.0,5:00,300,Welterweight
2008-06-07,UFC 85: Bedlam,Luiz Cane,Jason Lambert,TKO (punches),-,def.,1.0,2:07,127,Light Heavyweight
2008-06-07,UFC 85: Bedlam,Paul Taylor,Jess Liaudin,"Decision (split) (28–29, 29–28, 29–28)",-,def.,3.0,5:00,300,Welterweight
2008-06-07,UFC 85: Bedlam,Antoni Hardonk,Eddie Sanchez,TKO (punches),-,def.,2.0,4:15,255,Heavyweight
2008-06-07,UFC 85: Bedlam,Martin Kampmann,Jorge Rivera,Submission (guillotine choke),-,def.,1.0,2:44,164,Middleweight
2008-06-07,UFC 85: Bedlam,Matt Wiman,Thiago Tavares,KO (punches),-,def.,2.0,1:57,117,Lightweight
2008-06-07,UFC 85: Bedlam,Thales Leites,Nate Marquardt,"Decision (split) (28–27, 27–28, 28–27)",[b],def.,3.0,5:00,300,Middleweight
2008-06-21,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,Matt Brown,Matt Arroyo,TKO (punches),-,def.,2.0,3:40,220,Welterweight
2008-06-21,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,Drew McFedries,Marvin Eastman,TKO (punches),[b],def.,1.0,1:08,68,Middleweight
2008-06-21,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,Dustin Hazelett,Josh Burkman,Submission (armbar),-,def.,2.0,4:46,286,Welterweight
2008-06-21,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,Rob Kimmons,Rob Yundt,Submission (guillotine choke),-,def.,1.0,3:58,238,Middleweight
2008-06-21,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,Dean Lister,Jeremy Horn,Submission (guillotine choke),-,def.,1.0,3:52,232,Middleweight
2008-06-21,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,Spencer Fisher,Jeremy Stephens,"Decision (unanimous) (29–28, 29–28, 29–28)",-,def.,3.0,5:00,300,Lightweight
2008-06-21,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,Diego Sanchez,Luigi Fioravanti,TKO (punches),-,def.,3.0,4:07,247,Welterweight
2008-06-21,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,Amir Sadollah,C.B. Dollaway,Submission (armbar),[a],def.,1.0,3:02,182,Middleweight
2008-06-21,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,Kendall Grove,Evan Tanner,"Decision (split) (28–29, 30–26, 30–26)",-,def.,3.0,5:00,300,Middleweight
2008-06-21,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,Matthew Riddle,Dante Rivera,"Decision (unanimous) (30–27, 30–27, 29–28)",-,def.,3.0,5:00,300,Middleweight
2008-07-05,UFC 86: Jackson vs. Griffin,Josh Koscheck,Chris Lytle,"Decision (unanimous) (30–26, 29–27, 30–27)",-,def.,3.0,5:00,300,Welterweight
2008-07-05,UFC 86: Jackson vs. Griffin,Forrest Griffin,Quinton Jackson (c),"Decision (unanimous) (48–46, 48–46, 49–46)",[a],def.,5.0,5:00,300,Light Heavyweight
2008-07-05,UFC 86: Jackson vs. Griffin,Joe Stevenson,Gleison Tibau,Submission (guillotine choke),-,def.,2.0,2:57,177,Lightweight
2008-07-05,UFC 86: Jackson vs. Griffin,Melvin Guillard,Dennis Siver,KO (punches),-,def.,1.0,0:36,36,Lightweight
2008-07-05,UFC 86: Jackson vs. Griffin,Gabriel Gonzaga,Justin McCully,Submission (Americana),-,def.,1.0,1:57,117,Heavyweight
2008-07-05,UFC 86: Jackson vs. Griffin,Tyson Griffin,Marcus Aurélio,"Decision (unanimous) (30–27, 30–27, 30–27)",-,def.,3.0,5:00,300,Lightweight
2008-07-05,UFC 86: Jackson vs. Griffin,Cole Miller,Jorge Gurgel,Submission (triangle choke),-,def.,3.0,4:48,288,Lightweight
2008-07-05,UFC 86: Jackson vs. Griffin,Patrick Côté,Ricardo Almeida,"Decision (split) (29–28, 28–29, 29–28)",-,def.,3.0,5:00,300,Middleweight
2008-07-05,UFC 86: Jackson vs. Griffin,Justin Buchholz,Corey Hill,Submission (rear-naked choke),-,def.,2.0,3:57,237,Lightweight
2008-07-19,UFC Fight Night: Silva vs. Irvin,Cain Velasquez,Jake O'Brien,TKO (punches),-,def.,1.0,2:02,122,Heavyweight
2008-07-19,UFC Fight Night: Silva vs. Irvin,Anderson Silva,James Irvin,KO (punches),-,def.,1.0,1:01,61,Light Heavyweight
2008-07-19,UFC Fight Night: Silva vs. Irvin,Brandon Vera,Reese Andy,"Decision (unanimous) (30–27, 29–28, 30–27)",-,def.,3.0,5:00,300,Light Heavyweight
2008-07-19,UFC Fight Night: Silva vs. Irvin,Frankie Edgar,Hermes França,"Decision (unanimous) (30–27, 30–27, 30–27)",-,def.,3.0,5:00,300,Lightweight
2008-07-19,UFC Fight Night: Silva vs. Irvin,C.B. Dollaway,Jesse Taylor,Submission (Peruvian necktie),-,def.,1.0,3:58,238,Middleweight
2008-07-19,UFC Fight Night: Silva vs. Irvin,Kevin Burns,Anthony Johnson,TKO (eye poke),[a],def.,3.0,3:35,215,Welterweight
2008-07-19,UFC Fight Night: Silva vs. Irvin,Tim Credeur,Cale Yarbrough,TKO (punches),-,def.,1.0,1:54,114,Middleweight
2008-07-19,UFC Fight Night: Silva vs. Irvin,Nate Loughran,Johnny Rees,Submission (triangle choke),-,def.,1.0,4:21,261,Middleweight
2008-07-19,UFC Fight Night: Silva vs. Irvin,Shannon Gugerty,Dale Hartt,Submission (rear-naked choke),-,def.,1.0,3:33,213,Lightweight
2008-07-19,UFC Fight Night: Silva vs. Irvin,Rory Markham,Brodie Farber,KO (head kick),[b],def.,1.0,1:37,97,Welterweight
2008-07-19,UFC Fight Night: Silva vs. Irvin,Brad Blackburn,James Giboo,TKO (punches),-,def.,2.0,2:29,149,Welterweight
2008-08-09,UFC 87: Seek and Destroy,Demian Maia,Jason MacDonald,Submission (rear-naked choke),-,def.,3.0,2:44,164,Middleweight
2008-08-09,UFC 87: Seek and Destroy,Georges St-Pierre (c),Jon Fitch,"Decision (unanimous) (50–43, 50–44, 50–44)",[a],def.,5.0,5:00,300,Welterweight
2008-08-09,UFC 87: Seek and Destroy,Brock Lesnar,Heath Herring,"Decision (unanimous) (30–26, 30–26, 30–26)",-,def.,3.0,5:00,300,Heavyweight
2008-08-09,UFC 87: Seek and Destroy,Rob Emerson,Manvel Gamburyan,KO (punches),-,def.,1.0,0:12,12,Lightweight
2008-08-09,UFC 87: Seek and Destroy,Kenny Florian,Roger Huerta,"Decision (unanimous) (30–27, 30–27, 30–27)",-,def.,3.0,5:00,300,Lightweight
2008-08-09,UFC 87: Seek and Destroy,Chris Wilson,Steve Bruno,"Decision (unanimous) (30–27, 30–27, 30–27)",-,def.,3.0,5:00,300,Welterweight
2008-08-09,UFC 87: Seek and Destroy,Ben Saunders,Ryan Thomas,Submission (armbar),-,def.,2.0,2:28,148,Welterweight
2008-08-09,UFC 87: Seek and Destroy,Tamdan McCrory,Luke Cummo,"Decision (unanimous) (29–28, 30–27, 30–27)",-,def.,3.0,5:00,300,Welterweight
2008-08-09,UFC 87: Seek and Destroy,Cheick Kongo,Dan Evensen,TKO (punches),-,def.,1.0,4:55,295,Heavyweight
