Date,Event,Fighter1,Fighter2,Method,Note,Result,Round,Time,Time (secs),Weight class
1995-07-14,UFC 6: Clash of the Titans,Tank Abbott,Paul Varelans,TKO (punches),-,def.,1.0,1:53,113,-
1995-07-14,UFC 6: Clash of the Titans,Oleg Taktarov,Tank Abbott,Submission (rear-naked choke),-,def.,1.0,17:47,1067,-
1995-07-14,UFC 6: Clash of the Titans,Ken Shamrock,Dan Severn,Submission (guillotine choke),[a],def.,1.0,2:14,134,-
1995-07-14,UFC 6: Clash of the Titans,Oleg Taktarov,Anthony Macias,Submission (guillotine choke),[b],def.,1.0,0:09,9,-
1995-07-14,UFC 6: Clash of the Titans,Anthony Macias,He-Man Ali Gipson,Submission (punches),-,def.,1.0,3:06,186,-
1995-07-14,UFC 6: Clash of the Titans,Joel Sutton,Jack McLaughlin,Submission (punches),-,def.,1.0,2:01,121,-
1995-07-14,UFC 6: Clash of the Titans,Oleg Taktarov,Dave Beneteau,Submission (guillotine),-,def.,1.0,0:57,57,-
1995-07-14,UFC 6: Clash of the Titans,Paul Varelans,Cal Worsham,KO (elbow),-,def.,1.0,1:02,62,-
1995-07-14,UFC 6: Clash of the Titans,Patrick Smith,Rudyard Moncayo,Submission (rear-naked choke),-,def.,1.0,1:08,68,-
1995-07-14,UFC 6: Clash of the Titans,Tank Abbott,John Matua,KO (punch),-,def.,1.0,0:20,20,-
1995-09-08,UFC 7: The Brawl in Buffalo,Marco Ruas,Remco Pardoel,Submission (position),-,def.,1.0,12:27,747,-
1995-09-08,UFC 7: The Brawl in Buffalo,Onassis Parungao,Francesco Maturi,Submission (strikes),-,def.,1.0,5:26,326,-
1995-09-08,UFC 7: The Brawl in Buffalo,Mark Hall,Harold Howard,Submission (strikes),-,def.,1.0,1:41,101,-
1995-09-08,UFC 7: The Brawl in Buffalo,Marco Ruas,Larry Cureton,Submission (heel hook),-,def.,1.0,3:23,203,-
1995-09-08,UFC 7: The Brawl in Buffalo,Scott Bessac,David Hood,Submission (guillotine choke),-,def.,1.0,0:31,31,-
1995-09-08,UFC 7: The Brawl in Buffalo,Paul Varelans,Mark Hall,Submission (keylock),-,def.,1.0,1:04,64,-
1995-09-08,UFC 7: The Brawl in Buffalo,Marco Ruas,Paul Varelans,TKO (strikes),-,def.,1.0,13:17,797,-
1995-09-08,UFC 7: The Brawl in Buffalo,Ken Shamrock (c),Oleg Taktarov,Draw,[a],vs.,1.0,33:00,1980,-
1995-09-08,UFC 7: The Brawl in Buffalo,Paul Varelans,Gerry Harris,Submission (elbows),-,def.,1.0,1:07,67,-
1995-09-08,UFC 7: The Brawl in Buffalo,Remco Pardoel,Ryan Parker,Submission (lapel choke),-,def.,1.0,3:05,185,-
1995-09-08,UFC 7: The Brawl in Buffalo,Joel Sutton,Geza Kalman,TKO (cut),-,def.,1.0,0:48,48,-
