Date,Event,ROUND,TIME,Results_1,Results_2,Fighter_1,Fighter_2,WEIGHT CLASS,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,PASS_1,PASS_2,METHOD_result,METHOD_note,Date.1,Event.1,Fighter_R,Fighter_B,METHOD,ROUND.1,TIME.1,TIME_FORMAT,REFEREE,KD_R,KD_B,SIG_STR_R,SIG_STR_B,pSIG_STR_R,pSIG_STR_B,TOTAL_STR_R,TOTAL_STR_B,TD_R,TD_B,pTD_R,pTD_B,SUB_ATT_R,SUB_ATT_B,PASS_R,PASS_B,REV_R,REV_B,HEAD_R,HEAD_B,BODY_R,BODY_B,LEG_R,LEG_B,CLINCH_R,CLINCH_B,DISTANCE_R,DISTANCE_B,GROUND_R,GROUND_B
2008-08-09,UFC 87: Seek And Destroy,3,5:00,win,-,Kenny Florian,Roger Huerta,Lightweight,51.0,33.0,5.0,0.0,0.0,0.0,4.0,0.0,U-DEC,-,2008-08-09,UFC 87: Seek And Destroy,Kenny Florian,Roger Huerta,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,0.0,0.0,51 of 99,33 of 103,51%,32%,65 of 113,60 of 132,5 of 7,0 of 5,71%,0%,0.0,0.0,4.0,0.0,0.0,0.0,38 of 77,19 of 75,6 of 13,2 of 9,7 of 9,12 of 19,10 of 16,5 of 10,29 of 69,23 of 88,12 of 14,5 of 5
2008-08-09,UFC 87: Seek And Destroy,3,2:44,win,-,Demian Maia,Jason MacDonald,Middleweight,30.0,7.0,2.0,0.0,3.0,4.0,8.0,2.0,SUB,Rear Naked Choke,2008-08-09,UFC 87: Seek And Destroy,Demian Maia,Jason MacDonald,Submission,3,2:44,3 Rnd (5-5-5),Yves Lavigne,0.0,0.0,30 of 59,7 of 15,50%,46%,103 of 145,36 of 45,2 of 4,0 of 2,50%,0%,3.0,4.0,8.0,2.0,1.0,1.0,26 of 53,4 of 12,3 of 4,0 of 0,1 of 2,3 of 3,3 of 5,2 of 2,2 of 9,2 of 8,25 of 45,3 of 5
2008-08-09,UFC 87: Seek And Destroy,3,5:00,win,-,Tamdan McCrory,Luke Cummo,Welterweight,26.0,11.0,4.0,1.0,7.0,1.0,9.0,1.0,U-DEC,-,2008-08-09,UFC 87: Seek And Destroy,Tamdan McCrory,Luke Cummo,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,0.0,0.0,26 of 44,11 of 25,59%,44%,44 of 64,42 of 61,4 of 7,1 of 2,57%,50%,7.0,1.0,9.0,1.0,1.0,0.0,22 of 39,2 of 11,4 of 5,6 of 11,0 of 0,3 of 3,8 of 11,5 of 8,2 of 9,4 of 13,16 of 24,2 of 4
2008-08-09,UFC 87: Seek And Destroy,1,4:55,win,-,Cheick Kongo,Dan Evensen,Heavyweight,23.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,KO/TKO,Punch,2008-08-09,UFC 87: Seek And Destroy,Cheick Kongo,Dan Evensen,KO/TKO,1,4:55,3 Rnd (5-5-5),Yves Lavigne,1.0,0.0,23 of 34,2 of 9,67%,22%,38 of 50,3 of 10,2 of 2,0 of 0,100%,0%,0.0,2.0,1.0,0.0,0.0,0.0,9 of 16,0 of 6,3 of 4,2 of 3,11 of 14,0 of 0,5 of 6,2 of 2,6 of 11,0 of 7,12 of 17,0 of 0
2008-08-09,UFC 87: Seek And Destroy,3,5:00,win,-,Jon Jones,Andre Gusmao,Light Heavyweight,42.0,34.0,2.0,0.0,0.0,0.0,2.0,0.0,U-DEC,-,2008-08-09,UFC 87: Seek And Destroy,Jon Jones,Andre Gusmao,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Darryl Guthmiller,0.0,0.0,42 of 102,34 of 84,41%,40%,68 of 129,46 of 98,2 of 5,0 of 1,40%,0%,0.0,0.0,2.0,0.0,0.0,0.0,25 of 73,11 of 49,16 of 24,11 of 20,1 of 5,12 of 15,26 of 51,15 of 41,13 of 46,19 of 43,3 of 5,0 of 0
2008-08-09,UFC 87: Seek And Destroy,3,5:00,win,-,Chris Wilson,Steve Bruno,Welterweight,47.0,5.0,2.0,1.0,2.0,0.0,3.0,0.0,U-DEC,-,2008-08-09,UFC 87: Seek And Destroy,Chris Wilson,Steve Bruno,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Nick Gamst,3.0,0.0,47 of 72,5 of 18,65%,27%,111 of 142,8 of 21,2 of 2,1 of 13,100%,7%,2.0,0.0,3.0,0.0,0.0,0.0,28 of 46,2 of 14,17 of 24,1 of 1,2 of 2,2 of 3,6 of 8,0 of 0,20 of 40,5 of 18,21 of 24,0 of 0
2008-08-09,UFC 87: Seek And Destroy,2,2:28,win,-,Ben Saunders,Ryan Thomas,Welterweight,41.0,12.0,1.0,0.0,2.0,2.0,2.0,0.0,SUB,Armbar,2008-08-09,UFC 87: Seek And Destroy,Ben Saunders,Ryan Thomas,Submission,2,2:28,3 Rnd (5-5-5),Darryl Guthmiller,1.0,0.0,41 of 58,12 of 53,70%,22%,56 of 74,32 of 78,1 of 1,0 of 7,100%,0%,2.0,2.0,2.0,0.0,0.0,0.0,22 of 37,7 of 44,16 of 18,2 of 4,3 of 3,3 of 5,4 of 6,3 of 11,31 of 46,9 of 42,6 of 6,0 of 0
2008-09-06,UFC 88: Breakthrough,2,1:51,win,-,Rashad Evans,Chuck Liddell,Light Heavyweight,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Punch,2008-09-06,UFC 88: Breakthrough,Rashad Evans,Chuck Liddell,KO/TKO,2,1:51,3 Rnd (5-5-5),Herb Dean,1.0,0.0,13 of 35,10 of 50,37%,20%,13 of 35,10 of 50,0 of 0,0 of 0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,9 of 31,7 of 45,1 of 1,1 of 3,3 of 3,2 of 2,0 of 3,1 of 3,13 of 32,9 of 47,0 of 0,0 of 0
2008-09-06,UFC 88: Breakthrough,3,0:39,win,-,Rich Franklin,Matt Hamill,Light Heavyweight,71.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,KO/TKO,Kick,2008-09-06,UFC 88: Breakthrough,Rich Franklin,Matt Hamill,KO/TKO,3,0:39,3 Rnd (5-5-5),Mario Yamasaki,1.0,0.0,71 of 136,13 of 58,52%,22%,71 of 136,17 of 62,0 of 0,1 of 6,0%,16%,0.0,0.0,0.0,0.0,0.0,0.0,36 of 97,7 of 52,10 of 13,2 of 2,25 of 26,4 of 4,4 of 12,4 of 10,64 of 121,8 of 46,3 of 3,1 of 2
2008-09-06,UFC 88: Breakthrough,3,5:00,win,-,Dan Henderson,Rousimar Palhares,Middleweight,42.0,27.0,0.0,2.0,0.0,1.0,0.0,1.0,U-DEC,-,2008-09-06,UFC 88: Breakthrough,Dan Henderson,Rousimar Palhares,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,1.0,0.0,42 of 82,27 of 63,51%,42%,49 of 89,29 of 65,0 of 0,2 of 16,0%,12%,0.0,1.0,0.0,1.0,0.0,0.0,42 of 81,23 of 57,0 of 1,2 of 3,0 of 0,2 of 3,4 of 9,4 of 8,24 of 50,22 of 53,14 of 23,1 of 2
2008-09-06,UFC 88: Breakthrough,1,1:22,win,-,Nate Marquardt,Martin Kampmann,Middleweight,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Punches,2008-09-06,UFC 88: Breakthrough,Nate Marquardt,Martin Kampmann,KO/TKO,1,1:22,3 Rnd (5-5-5),Mario Yamasaki,1.0,0.0,22 of 36,1 of 7,61%,14%,27 of 41,2 of 8,0 of 0,0 of 0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,19 of 31,1 of 6,3 of 5,0 of 1,0 of 0,0 of 0,17 of 25,1 of 2,3 of 7,0 of 5,2 of 4,0 of 0
2008-09-06,UFC 88: Breakthrough,3,5:00,win,-,Dong Hyun Kim,Matt Brown,Welterweight,12.0,48.0,3.0,1.0,1.0,2.0,5.0,1.0,S-DEC,-,2008-09-06,UFC 88: Breakthrough,Dong Hyun Kim,Matt Brown,Decision - Split,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,0.0,0.0,12 of 28,48 of 79,42%,60%,18 of 36,91 of 126,3 of 14,1 of 2,21%,50%,1.0,2.0,5.0,1.0,0.0,0.0,11 of 27,11 of 29,1 of 1,27 of 35,0 of 0,10 of 15,4 of 4,19 of 24,4 of 17,20 of 41,4 of 7,9 of 14
2008-09-06,UFC 88: Breakthrough,3,5:00,win,-,Kurt Pellegrino,Thiago Tavares,Lightweight,61.0,18.0,1.0,1.0,1.0,0.0,5.0,0.0,U-DEC,-,2008-09-06,UFC 88: Breakthrough,Kurt Pellegrino,Thiago Tavares,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne,2.0,0.0,61 of 97,18 of 72,62%,25%,100 of 138,86 of 146,1 of 2,1 of 11,50%,9%,1.0,0.0,5.0,0.0,0.0,0.0,50 of 85,13 of 62,8 of 9,3 of 5,3 of 3,2 of 5,9 of 15,0 of 2,22 of 46,12 of 58,30 of 36,6 of 12
2008-09-06,UFC 88: Breakthrough,1,2:03,win,-,Tim Boetsch,Michael Patt,Light Heavyweight,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Punches,2008-09-06,UFC 88: Breakthrough,Tim Boetsch,Michael Patt,KO/TKO,1,2:03,3 Rnd (5-5-5),Herb Dean,1.0,0.0,15 of 31,9 of 21,48%,42%,18 of 34,11 of 23,0 of 0,0 of 1,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,11 of 27,3 of 13,3 of 3,1 of 2,1 of 1,5 of 6,1 of 1,2 of 3,8 of 22,7 of 18,6 of 8,0 of 0
2008-09-06,UFC 88: Breakthrough,3,5:00,win,-,Ryo Chonan,Roan Carneiro,Welterweight,23.0,18.0,0.0,2.0,0.0,1.0,0.0,4.0,S-DEC,-,2008-09-06,UFC 88: Breakthrough,Ryo Chonan,Roan Carneiro,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,0.0,0.0,23 of 58,18 of 38,39%,47%,72 of 111,68 of 92,0 of 0,2 of 6,0%,33%,0.0,1.0,0.0,4.0,0.0,1.0,11 of 43,16 of 36,7 of 9,1 of 1,5 of 6,1 of 1,2 of 4,2 of 3,6 of 17,6 of 17,15 of 37,10 of 18
2008-09-06,UFC 88: Breakthrough,2,1:20,win,-,Jason MacDonald,Jason Lambert,Middleweight,10.0,1.0,2.0,0.0,1.0,2.0,4.0,0.0,SUB,Rear Naked Choke,2008-09-06,UFC 88: Breakthrough,Jason MacDonald,Jason Lambert,Submission,2,1:20,3 Rnd (5-5-5),Yves Lavigne,0.0,0.0,10 of 18,1 of 5,55%,20%,59 of 74,2 of 6,2 of 2,0 of 0,100%,0%,1.0,2.0,4.0,0.0,0.0,0.0,10 of 18,1 of 5,0 of 0,0 of 0,0 of 0,0 of 0,1 of 2,0 of 2,3 of 8,1 of 3,6 of 8,0 of 0
2008-09-17,UFC Fight Night: Diaz vs Neer,3,5:00,win,-,Nate Diaz,Josh Neer,Lightweight,40.0,26.0,5.0,4.0,0.0,4.0,5.0,2.0,S-DEC,-,2008-09-17,UFC Fight Night: Diaz vs Neer,Nate Diaz,Josh Neer,Decision - Split,3,5:00,3 Rnd (5-5-5),Josh Rosenthal,0.0,0.0,40 of 72,26 of 50,55%,52%,114 of 157,48 of 74,5 of 11,4 of 8,45%,50%,0.0,4.0,5.0,2.0,0.0,0.0,21 of 47,20 of 40,13 of 19,3 of 7,6 of 6,3 of 3,21 of 27,16 of 30,4 of 23,4 of 10,15 of 22,6 of 10
2008-09-17,UFC Fight Night: Diaz vs Neer,3,5:00,win,-,Clay Guida,Mac Danzig,Lightweight,43.0,36.0,10.0,1.0,0.0,0.0,3.0,0.0,U-DEC,-,2008-09-17,UFC Fight Night: Diaz vs Neer,Clay Guida,Mac Danzig,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne,0.0,0.0,43 of 106,36 of 108,40%,33%,67 of 133,64 of 139,10 of 18,1 of 3,55%,33%,0.0,0.0,3.0,0.0,0.0,0.0,19 of 79,31 of 101,7 of 9,2 of 3,17 of 18,3 of 4,20 of 29,9 of 14,17 of 67,27 of 94,6 of 10,0 of 0
2008-09-17,UFC Fight Night: Diaz vs Neer,3,5:00,win,-,Alan Belcher,Ed Herman,Middleweight,54.0,43.0,0.0,5.0,0.0,2.0,0.0,6.0,S-DEC,-,2008-09-17,UFC Fight Night: Diaz vs Neer,Alan Belcher,Ed Herman,Decision - Split,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,0.0,0.0,54 of 90,43 of 130,60%,33%,67 of 103,86 of 175,0 of 0,5 of 12,0%,41%,0.0,2.0,0.0,6.0,0.0,0.0,29 of 60,33 of 110,8 of 12,9 of 16,17 of 18,1 of 4,15 of 19,9 of 19,39 of 71,24 of 96,0 of 0,10 of 15
2008-09-17,UFC Fight Night: Diaz vs Neer,1,4:53,win,-,Eric Schafer,Houston Alexander,Light Heavyweight,24.0,12.0,1.0,0.0,2.0,0.0,2.0,0.0,SUB,Arm Triangle,2008-09-17,UFC Fight Night: Diaz vs Neer,Eric Schafer,Houston Alexander,Submission,1,4:53,3 Rnd (5-5-5),Josh Rosenthal,0.0,0.0,24 of 38,12 of 21,63%,57%,53 of 69,22 of 31,1 of 4,0 of 0,25%,0%,2.0,0.0,2.0,0.0,1.0,0.0,21 of 32,7 of 15,3 of 6,3 of 4,0 of 0,2 of 2,3 of 6,4 of 7,0 of 1,3 of 5,21 of 31,5 of 9
2008-09-17,UFC Fight Night: Diaz vs Neer,2,2:04,win,-,Wilson Gouveia,Ryan Jensen,Middleweight,8.0,30.0,1.0,2.0,2.0,0.0,1.0,1.0,SUB,Armbar,2008-09-17,UFC Fight Night: Diaz vs Neer,Wilson Gouveia,Ryan Jensen,Submission,2,2:04,3 Rnd (5-5-5),Dan Miragliotta,0.0,0.0,8 of 19,30 of 72,42%,41%,8 of 19,45 of 90,1 of 1,2 of 2,100%,100%,2.0,0.0,1.0,1.0,0.0,1.0,3 of 13,28 of 69,1 of 1,0 of 1,4 of 5,2 of 2,1 of 1,1 of 1,7 of 18,5 of 17,0 of 0,24 of 54
2008-09-17,UFC Fight Night: Diaz vs Neer,2,1:34,win,-,Joe Lauzon,Kyle Bradley,Lightweight,23.0,18.0,1.0,0.0,2.0,0.0,3.0,0.0,KO/TKO,Punches,2008-09-17,UFC Fight Night: Diaz vs Neer,Joe Lauzon,Kyle Bradley,KO/TKO,2,1:34,3 Rnd (5-5-5),Josh Arney,0.0,0.0,23 of 54,18 of 48,42%,37%,30 of 62,19 of 49,1 of 2,0 of 0,50%,0%,2.0,0.0,3.0,0.0,0.0,0.0,22 of 53,10 of 39,1 of 1,7 of 8,0 of 0,1 of 1,6 of 7,4 of 4,6 of 32,14 of 44,11 of 15,0 of 0
2008-09-17,UFC Fight Night: Diaz vs Neer,2,2:54,win,-,Jason Brilz,Brad Morris,Light Heavyweight,34.0,4.0,1.0,0.0,1.0,0.0,7.0,0.0,KO/TKO,Punches,2008-09-17,UFC Fight Night: Diaz vs Neer,Jason Brilz,Brad Morris,KO/TKO,2,2:54,3 Rnd (5-5-5),Mark Powell,0.0,0.0,34 of 42,4 of 4,80%,100%,96 of 108,4 of 4,1 of 1,0 of 0,100%,0%,1.0,0.0,7.0,0.0,0.0,0.0,29 of 37,3 of 3,5 of 5,0 of 0,0 of 0,1 of 1,0 of 0,0 of 0,0 of 0,4 of 4,34 of 42,0 of 0
2008-09-17,UFC Fight Night: Diaz vs Neer,1,1:28,win,-,Mike Massenzio,Drew McFedries,Middleweight,0.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,SUB,Kimura,2008-09-17,UFC Fight Night: Diaz vs Neer,Mike Massenzio,Drew McFedries,Submission,1,1:28,3 Rnd (5-5-5),Jim Axtel,0.0,0.0,0 of 0,3 of 4,0%,75%,7 of 10,9 of 10,1 of 1,0 of 0,100%,0%,1.0,1.0,2.0,0.0,0.0,0.0,0 of 0,3 of 4,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 1,0 of 0,3 of 3
2008-09-17,UFC Fight Night: Diaz vs Neer,1,1:27,win,-,Dan Miller,Rob Kimmons,Middleweight,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,SUB,Rear Naked Choke,2008-09-17,UFC Fight Night: Diaz vs Neer,Dan Miller,Rob Kimmons,Submission,1,1:27,3 Rnd (5-5-5),Josh Arney,0.0,0.0,0 of 1,0 of 1,0%,0%,8 of 11,1 of 2,0 of 0,0 of 1,0%,0%,2.0,0.0,0.0,0.0,0.0,0.0,0 of 1,0 of 1,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 1,0 of 1,0 of 0,0 of 0
2008-09-17,UFC Fight Night: Diaz vs Neer,1,1:27,win,-,Alessio Sakara,Joe Vedepo,Middleweight,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Kick,2008-09-17,UFC Fight Night: Diaz vs Neer,Alessio Sakara,Joe Vedepo,KO/TKO,1,1:27,3 Rnd (5-5-5),Yves Lavigne,1.0,0.0,7 of 10,7 of 9,70%,77%,7 of 10,8 of 10,0 of 0,0 of 3,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,3 of 6,5 of 7,3 of 3,2 of 2,1 of 1,0 of 0,2 of 2,7 of 7,4 of 7,0 of 2,1 of 1,0 of 0
2008-10-18,UFC 89: Bisping vs Leben,3,5:00,win,-,Chris Lytle,Paul Taylor,Welterweight,102.0,85.0,2.0,0.0,0.0,0.0,1.0,0.0,U-DEC,-,2008-10-18,UFC 89: Bisping vs Leben,Chris Lytle,Paul Taylor,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin Mulhall,0.0,0.0,102 of 194,85 of 160,52%,53%,212 of 304,133 of 209,2 of 3,0 of 2,66%,0%,0.0,0.0,1.0,0.0,0.0,0.0,54 of 131,42 of 109,42 of 57,15 of 23,6 of 6,28 of 28,43 of 63,37 of 55,56 of 128,48 of 105,3 of 3,0 of 0
2008-10-18,UFC 89: Bisping vs Leben,3,5:00,win,-,Keith Jardine,Brandon Vera,Light Heavyweight,50.0,48.0,2.0,1.0,0.0,0.0,0.0,0.0,S-DEC,-,2008-10-18,UFC 89: Bisping vs Leben,Keith Jardine,Brandon Vera,Decision - Split,3,5:00,3 Rnd (5-5-5),Kevin Mulhall,1.0,1.0,50 of 131,48 of 86,38%,55%,59 of 140,57 of 95,2 of 4,1 of 1,50%,100%,0.0,0.0,0.0,0.0,0.0,0.0,35 of 114,27 of 62,5 of 6,12 of 14,10 of 11,9 of 10,13 of 27,4 of 10,27 of 81,35 of 65,10 of 23,9 of 11
2008-10-18,UFC 89: Bisping vs Leben,2,4:15,win,-,Luiz Cane,Rameau Thierry Sokoudjou,Light Heavyweight,41.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Punches,2008-10-18,UFC 89: Bisping vs Leben,Luiz Cane,Rameau Thierry Sokoudjou,KO/TKO,2,4:15,3 Rnd (5-5-5),Marc Goddard,1.0,0.0,41 of 78,28 of 82,52%,34%,41 of 78,28 of 82,0 of 0,0 of 1,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,37 of 72,16 of 65,3 of 5,8 of 9,1 of 1,4 of 8,2 of 5,1 of 4,28 of 60,27 of 78,11 of 13,0 of 0
2008-10-18,UFC 89: Bisping vs Leben,2,2:16,win,-,Marcus Davis,Paul Kelly,Welterweight,25.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,SUB,Guillotine Choke,2008-10-18,UFC 89: Bisping vs Leben,Marcus Davis,Paul Kelly,Submission,2,2:16,3 Rnd (5-5-5),Marc Goddard,0.0,0.0,25 of 63,3 of 56,39%,5%,36 of 74,3 of 56,1 of 1,1 of 1,100%,100%,1.0,1.0,2.0,0.0,0.0,0.0,12 of 46,2 of 55,3 of 5,1 of 1,10 of 12,0 of 0,0 of 0,0 of 1,24 of 62,3 of 55,1 of 1,0 of 0
2008-10-18,UFC 89: Bisping vs Leben,3,5:00,win,-,Michael Bisping,Chris Leben,Middleweight,70.0,51.0,1.0,1.0,0.0,0.0,0.0,0.0,U-DEC,-,2008-10-18,UFC 89: Bisping vs Leben,Michael Bisping,Chris Leben,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,0.0,0.0,70 of 160,51 of 164,43%,31%,77 of 167,62 of 176,1 of 3,1 of 2,33%,50%,0.0,0.0,0.0,0.0,0.0,0.0,52 of 133,22 of 117,14 of 21,12 of 24,4 of 6,17 of 23,5 of 15,8 of 22,65 of 145,43 of 142,0 of 0,0 of 0
2008-10-18,UFC 89: Bisping vs Leben,1,1:31,win,-,Shane Carwin,Neil Wain,Heavyweight,13.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,KO/TKO,Punches,2008-10-18,UFC 89: Bisping vs Leben,Shane Carwin,Neil Wain,KO/TKO,1,1:31,3 Rnd (5-5-5),Dan Miragliotta,0.0,0.0,13 of 23,4 of 8,56%,50%,23 of 33,8 of 12,1 of 2,0 of 0,50%,0%,0.0,0.0,3.0,0.0,0.0,0.0,11 of 21,4 of 8,2 of 2,0 of 0,0 of 0,0 of 0,2 of 4,1 of 3,0 of 2,3 of 5,11 of 17,0 of 0
2008-10-18,UFC 89: Bisping vs Leben,3,5:00,win,-,David Bielkheden,Jess Liaudin,Lightweight,36.0,12.0,7.0,1.0,0.0,2.0,2.0,1.0,U-DEC,-,2008-10-18,UFC 89: Bisping vs Leben,David Bielkheden,Jess Liaudin,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin Mulhall,0.0,0.0,36 of 53,12 of 25,67%,48%,86 of 104,58 of 72,7 of 11,1 of 1,63%,100%,0.0,2.0,2.0,1.0,0.0,0.0,32 of 49,12 of 25,4 of 4,0 of 0,0 of 0,0 of 0,16 of 19,4 of 4,0 of 4,1 of 7,20 of 30,7 of 14
2008-10-18,UFC 89: Bisping vs Leben,3,5:00,win,-,Terry Etim,Sam Stout,Lightweight,69.0,55.0,0.0,1.0,0.0,0.0,0.0,0.0,U-DEC,-,2008-10-18,UFC 89: Bisping vs Leben,Terry Etim,Sam Stout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,0.0,0.0,69 of 192,55 of 288,35%,19%,69 of 192,56 of 289,0 of 2,1 of 1,0%,100%,0.0,0.0,0.0,0.0,0.0,0.0,35 of 143,15 of 216,4 of 8,18 of 37,30 of 41,22 of 35,3 of 4,2 of 4,66 of 188,53 of 284,0 of 0,0 of 0
2008-10-18,UFC 89: Bisping vs Leben,3,3:19,win,-,Jim Miller,David Baron,Lightweight,15.0,7.0,5.0,0.0,5.0,1.0,14.0,0.0,SUB,Rear Naked Choke,2008-10-18,UFC 89: Bisping vs Leben,Jim Miller,David Baron,Submission,3,3:19,3 Rnd (5-5-5),Marc Goddard,0.0,0.0,15 of 28,7 of 16,53%,43%,46 of 64,22 of 31,5 of 6,0 of 1,83%,0%,5.0,1.0,14.0,0.0,0.0,1.0,10 of 21,5 of 14,2 of 2,2 of 2,3 of 5,0 of 0,1 of 2,2 of 5,3 of 11,5 of 11,11 of 15,0 of 0
2008-10-18,UFC 89: Bisping vs Leben,3,5:00,win,-,Dan Hardy,Akihiro Gono,Welterweight,57.0,56.0,0.0,3.0,0.0,0.0,0.0,1.0,S-DEC,-,2008-10-18,UFC 89: Bisping vs Leben,Dan Hardy,Akihiro Gono,Decision - Split,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,0.0,0.0,57 of 186,56 of 107,30%,52%,61 of 190,58 of 109,0 of 0,3 of 4,0%,75%,0.0,0.0,0.0,1.0,0.0,0.0,24 of 133,28 of 63,12 of 20,14 of 20,21 of 33,14 of 24,4 of 16,4 of 7,53 of 170,50 of 98,0 of 0,2 of 2
2008-10-18,UFC 89: Bisping vs Leben,3,1:47,win,-,Per Eklund,Samy Schiavo,Lightweight,31.0,23.0,1.0,1.0,5.0,1.0,3.0,0.0,SUB,Rear Naked Choke,2008-10-18,UFC 89: Bisping vs Leben,Per Eklund,Samy Schiavo,Submission,3,1:47,3 Rnd (5-5-5),Leon Roberts,0.0,0.0,31 of 42,23 of 56,73%,41%,92 of 104,28 of 62,1 of 5,1 of 2,20%,50%,5.0,1.0,3.0,0.0,0.0,0.0,14 of 22,16 of 47,14 of 17,1 of 3,3 of 3,6 of 6,19 of 24,6 of 9,3 of 6,10 of 31,9 of 12,7 of 16
2008-10-25,UFC 90: Silva vs Cote,3,0:39,win,-,Anderson Silva,Patrick Cote,Middleweight,29.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,-,2008-10-25,UFC 90: Silva vs Cote,Anderson Silva,Patrick Cote,KO/TKO,3,0:39,5 Rnd (5-5-5-5-5),Herb Dean,0.0,0.0,29 of 40,16 of 49,72%,32%,32 of 46,18 of 51,1 of 1,0 of 3,100%,0%,0.0,0.0,0.0,0.0,0.0,0.0,11 of 21,3 of 27,9 of 10,2 of 2,9 of 9,11 of 20,7 of 10,1 of 4,21 of 29,13 of 43,1 of 1,2 of 2
2008-10-25,UFC 90: Silva vs Cote,3,5:00,win,-,Thiago Alves,Josh Koscheck,Welterweight,80.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,U-DEC,-,2008-10-25,UFC 90: Silva vs Cote,Thiago Alves,Josh Koscheck,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),David Smith,2.0,0.0,80 of 181,39 of 128,44%,30%,87 of 188,46 of 135,0 of 2,0 of 5,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,43 of 134,25 of 106,2 of 4,9 of 17,35 of 43,5 of 5,10 of 17,5 of 7,68 of 162,34 of 121,2 of 2,0 of 0
2008-10-25,UFC 90: Silva vs Cote,3,5:00,win,-,Gray Maynard,Rich Clementi,Lightweight,22.0,7.0,5.0,0.0,2.0,0.0,7.0,0.0,U-DEC,-,2008-10-25,UFC 90: Silva vs Cote,Gray Maynard,Rich Clementi,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Todd Frederickson,0.0,0.0,22 of 61,7 of 42,36%,16%,66 of 111,20 of 57,5 of 7,0 of 0,71%,0%,2.0,0.0,7.0,0.0,0.0,1.0,17 of 55,3 of 37,5 of 6,0 of 1,0 of 0,4 of 4,2 of 2,0 of 6,14 of 46,5 of 32,6 of 13,2 of 4
2008-10-25,UFC 90: Silva vs Cote,1,1:21,win,-,Junior Dos Santos,Fabricio Werdum,Heavyweight,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Punch,2008-10-25,UFC 90: Silva vs Cote,Junior Dos Santos,Fabricio Werdum,KO/TKO,1,1:21,3 Rnd (5-5-5),Marc Fennell,1.0,0.0,7 of 11,6 of 6,63%,100%,7 of 11,6 of 6,0 of 0,0 of 0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,5 of 7,1 of 1,1 of 3,0 of 0,1 of 1,5 of 5,0 of 0,1 of 1,3 of 7,5 of 5,4 of 4,0 of 0
