Date,Event,ROUND,TIME,Results_1,Results_2,Fighter_1,Fighter_2,WEIGHT CLASS,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,PASS_1,PASS_2,METHOD_result,METHOD_note,Date.1,Event.1,Fighter_R,Fighter_B,METHOD,ROUND.1,TIME.1,TIME_FORMAT,REFEREE,KD_R,KD_B,SIG_STR_R,SIG_STR_B,pSIG_STR_R,pSIG_STR_B,TOTAL_STR_R,TOTAL_STR_B,TD_R,TD_B,pTD_R,pTD_B,SUB_ATT_R,SUB_ATT_B,PASS_R,PASS_B,REV_R,REV_B,HEAD_R,HEAD_B,BODY_R,BODY_B,LEG_R,LEG_B,CLINCH_R,CLINCH_B,DISTANCE_R,DISTANCE_B,GROUND_R,GROUND_B
2000-12-16,UFC 29: Defense of the Belts,1,2:58,win,-,Matt Lindland,Yoji Anjo,Middleweight,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,KO/TKO,Punches,2000-12-16,UFC 29: Defense of the Belts,Matt Lindland,Yoji Anjo,KO/TKO,1,2:58,3 Rnd (5-5-5),John McCarthy,0.0,0.0,17 of 26,0 of 1,65%,0%,39 of 52,0 of 1,0 of 0,0 of 1,0%,0%,0.0,0.0,1.0,0.0,0.0,0.0,17 of 26,0 of 1,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1,0 of 0,0 of 2,0 of 1,16 of 23,0 of 0
2000-12-16,UFC 29: Defense of the Belts,2,1:58,win,-,Pat Miletich,Kenichi Yamamoto,Welterweight,16.0,3.0,3.0,0.0,2.0,0.0,2.0,0.0,SUB,Guillotine Choke,2000-12-16,UFC 29: Defense of the Belts,Pat Miletich,Kenichi Yamamoto,Submission,2,1:58,5 Rnd (5-5-5-5-5),John McCarthy,0.0,0.0,16 of 28,3 of 7,57%,42%,31 of 43,3 of 7,3 of 3,0 of 4,100%,0%,2.0,0.0,2.0,0.0,0.0,0.0,15 of 25,0 of 3,0 of 0,2 of 2,1 of 3,1 of 2,1 of 1,1 of 1,5 of 15,2 of 6,10 of 12,0 of 0
2000-12-16,UFC 29: Defense of the Belts,1,1:52,win,-,Tito Ortiz,Yuki Kondo,Middleweight,16.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,SUB,Neck Crank,2000-12-16,UFC 29: Defense of the Belts,Tito Ortiz,Yuki Kondo,Submission,1,1:52,5 Rnd (5-5-5-5-5),John McCarthy,0.0,1.0,16 of 22,2 of 4,72%,50%,31 of 40,2 of 4,2 of 2,0 of 0,100%,0%,2.0,0.0,0.0,0.0,0.0,0.0,16 of 22,1 of 2,0 of 0,1 of 2,0 of 0,0 of 0,0 of 0,0 of 0,0 of 1,2 of 4,16 of 21,0 of 0
2000-12-16,UFC 29: Defense of the Belts,3,5:00,win,-,Chuck Liddell,Jeff Monson,Middleweight,42.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,U-DEC,-,2000-12-16,UFC 29: Defense of the Belts,Chuck Liddell,Jeff Monson,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,0.0,0.0,42 of 77,6 of 20,54%,30%,45 of 80,18 of 32,0 of 0,1 of 17,0%,5%,0.0,0.0,0.0,0.0,0.0,0.0,18 of 48,5 of 19,5 of 5,1 of 1,19 of 24,0 of 0,5 of 9,2 of 4,31 of 62,4 of 16,6 of 6,0 of 0
2001-02-23,UFC 30: Battle on the Boardwalk,1,0:32,win,-,Tito Ortiz,Evan Tanner,Middleweight,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Slam,2001-02-23,UFC 30: Battle on the Boardwalk,Tito Ortiz,Evan Tanner,KO/TKO,1,0:32,5 Rnd (5-5-5-5-5),John McCarthy,0.0,0.0,7 of 7,0 of 1,100%,0%,7 of 7,0 of 1,1 of 1,0 of 0,100%,0%,0.0,0.0,0.0,0.0,0.0,0.0,4 of 4,0 of 0,2 of 2,0 of 1,1 of 1,0 of 0,4 of 4,0 of 0,1 of 1,0 of 1,2 of 2,0 of 0
2001-02-23,UFC 30: Battle on the Boardwalk,5,5:00,win,-,Jens Pulver,Caol Uno,Lightweight,50.0,50.0,0.0,3.0,0.0,0.0,0.0,2.0,U-DEC,-,2001-02-23,UFC 30: Battle on the Boardwalk,Jens Pulver,Caol Uno,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,0.0,0.0,50 of 131,50 of 101,38%,49%,103 of 185,56 of 107,0 of 0,3 of 25,0%,12%,0.0,0.0,0.0,2.0,0.0,0.0,38 of 118,29 of 70,6 of 7,4 of 5,6 of 6,17 of 26,18 of 30,7 of 10,31 of 96,41 of 89,1 of 5,2 of 2
2001-02-23,UFC 30: Battle on the Boardwalk,1,1:40,win,-,Fabiano Iha,Phil Johns,Welterweight,3.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,SUB,Armbar,2001-02-23,UFC 30: Battle on the Boardwalk,Fabiano Iha,Phil Johns,Submission,1,1:40,3 Rnd (5-5-5),Mario Yamasaki,0.0,0.0,3 of 6,2 of 3,50%,66%,3 of 6,6 of 7,1 of 2,0 of 1,50%,0%,1.0,0.0,2.0,0.0,0.0,0.0,0 of 3,0 of 0,2 of 2,1 of 1,1 of 1,1 of 2,1 of 1,1 of 1,2 of 5,1 of 2,0 of 0,0 of 0
2001-02-23,UFC 30: Battle on the Boardwalk,1,3:27,nc,nc,Bobby Hoffman,Mark Robinson,Heavyweight,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Overturned,-,2001-02-23,UFC 30: Battle on the Boardwalk,Bobby Hoffman,Mark Robinson,Overturned,1,3:27,2 Rnd (5-5),John McCarthy,1.0,0.0,20 of 23,0 of 1,86%,0%,64 of 67,1 of 2,0 of 0,0 of 0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,4 of 6,0 of 1,16 of 17,0 of 0,0 of 0,0 of 0,20 of 22,0 of 1,0 of 1,0 of 0,0 of 0,0 of 0
2001-02-23,UFC 30: Battle on the Boardwalk,2,4:21,win,-,Pedro Rizzo,Josh Barnett,Heavyweight,31.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Punch,2001-02-23,UFC 30: Battle on the Boardwalk,Pedro Rizzo,Josh Barnett,KO/TKO,2,4:21,3 Rnd (5-5-5),Mario Yamasaki,1.0,0.0,31 of 86,39 of 101,36%,38%,35 of 90,41 of 103,0 of 0,0 of 0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,18 of 67,17 of 74,3 of 3,6 of 9,10 of 16,16 of 18,8 of 15,10 of 23,23 of 71,29 of 78,0 of 0,0 of 0
2001-02-23,UFC 30: Battle on the Boardwalk,2,5:00,win,-,Phil Baroni,Curtis Stout,Middleweight,39.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,U-DEC,-,2001-02-23,UFC 30: Battle on the Boardwalk,Phil Baroni,Curtis Stout,Decision - Unanimous,2,5:00,2 Rnd (5-5),Mason White,0.0,0.0,39 of 54,2 of 3,72%,66%,210 of 230,41 of 42,2 of 2,0 of 0,100%,0%,0.0,0.0,1.0,0.0,0.0,0.0,13 of 28,0 of 0,26 of 26,0 of 0,0 of 0,2 of 3,0 of 0,0 of 0,1 of 2,2 of 3,38 of 52,0 of 0
2001-02-23,UFC 30: Battle on the Boardwalk,2,4:47,win,-,Sean Sherk,Tiki Ghosn,Welterweight,12.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,SUB,Injury,2001-02-23,UFC 30: Battle on the Boardwalk,Sean Sherk,Tiki Ghosn,Submission,2,4:47,2 Rnd (5-5),Mason White,0.0,0.0,12 of 16,1 of 7,75%,14%,134 of 146,10 of 16,4 of 5,0 of 0,80%,0%,0.0,0.0,0.0,0.0,0.0,0.0,11 of 15,0 of 5,0 of 0,0 of 0,1 of 1,1 of 2,1 of 1,0 of 1,1 of 3,1 of 6,10 of 12,0 of 0
2001-02-23,UFC 30: Battle on the Boardwalk,1,2:52,win,-,Elvis Sinosic,Jeremy Horn,Middleweight,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,SUB,Triangle Choke,2001-02-23,UFC 30: Battle on the Boardwalk,Elvis Sinosic,Jeremy Horn,Submission,1,2:52,3 Rnd (5-5-5),Mario Yamasaki,0.0,0.0,2 of 5,4 of 10,40%,40%,21 of 24,28 of 37,0 of 0,0 of 0,0%,0%,2.0,0.0,0.0,0.0,0.0,0.0,0 of 3,3 of 8,1 of 1,1 of 2,1 of 1,0 of 0,0 of 0,0 of 0,2 of 5,2 of 8,0 of 0,2 of 2
2001-05-04,UFC 31: Locked and Loaded,3,2:50,win,-,Carlos Newton,Pat Miletich,Welterweight,14.0,28.0,4.0,0.0,1.0,0.0,1.0,1.0,SUB,Other - Choke,2001-05-04,UFC 31: Locked and Loaded,Carlos Newton,Pat Miletich,Submission,3,2:50,5 Rnd (5-5-5-5-5),John McCarthy,0.0,0.0,14 of 52,28 of 76,26%,36%,53 of 96,50 of 100,4 of 6,0 of 0,66%,0%,1.0,0.0,1.0,1.0,0.0,0.0,7 of 45,16 of 64,4 of 4,4 of 4,3 of 3,8 of 8,4 of 6,3 of 6,9 of 40,24 of 68,1 of 6,1 of 2
2001-05-04,UFC 31: Locked and Loaded,3,4:51,win,-,Shonie Carter,Matt Serra,Welterweight,18.0,10.0,2.0,2.0,0.0,3.0,0.0,5.0,KO/TKO,Spinning Back Fist,2001-05-04,UFC 31: Locked and Loaded,Shonie Carter,Matt Serra,KO/TKO,3,4:51,3 Rnd (5-5-5),Mario Yamasaki,2.0,0.0,18 of 33,10 of 25,54%,40%,49 of 65,27 of 44,2 of 3,2 of 13,66%,15%,0.0,3.0,0.0,5.0,2.0,1.0,6 of 17,5 of 18,6 of 7,2 of 2,6 of 9,3 of 5,6 of 6,3 of 4,10 of 16,5 of 19,2 of 11,2 of 2
