Date,Event,Location,url
2004-01-31,UFC 46: Supernatural,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/94609dd91731d428
2004-04-02,UFC 47: It's On!,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/e8fb8e53bc2e29d6
2004-06-19,UFC 48: Payback,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/429e7d3725852ce9
2004-08-21,UFC 49: Unfinished Business,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/b4bc2e3353a770b5
2004-10-22,UFC 50: The War Of '04,"Atlantic City, New Jersey, USA",http://ufcstats.com/event-details/ce783bf73b5131f9
2005-02-05,UFC 51: Super Saturday,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/85d905f7c4f5a1af
2005-04-09,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/fbbde91f7bc2d3c5
2005-04-16,UFC 52: Couture vs Liddell 2,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/c933d423ebdbbbdb
2005-06-04,UFC 53: Heavy Hitters,"Atlantic City, New Jersey, USA",http://ufcstats.com/event-details/d3711d3784b76255
2005-08-06,UFC Fight Night 1,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/3f24c96753dbd9f9
2005-08-20,UFC 54: Boiling Point,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/669a3cb6e394f515
2005-10-03,UFC Fight Night 2,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/efaf544314bb5c2e
2005-10-07,UFC 55: Fury,"Uncasville, Connecticut, USA",http://ufcstats.com/event-details/271fe91f4ba9d2c5
2005-11-05,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/31ceaf0e670c1578
2005-11-19,UFC 56: Full Force,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/c7e9d15cfce52f1d
2006-01-16,UFC Fight Night 3,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/2ee09ec2a0695eb9
2006-02-04,UFC 57: Liddell vs Couture 3,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/977081bc01197656
2006-03-04,UFC 58: USA vs Canada,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/0e9869d712e81f8f
2006-04-06,UFC Fight Night 4,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/b361180739bed4b0
2006-04-15,UFC 59: Reality Check,"Anaheim, California, USA",http://ufcstats.com/event-details/03688dc3c3af3ac1
2006-05-27,UFC 60: Hughes vs Gracie,"Los Angeles, California, USA",http://ufcstats.com/event-details/a54a35a670d8e852
2006-06-24,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/1dab0d1d81dd06db
2006-06-28,UFC Fight Night 5,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/445a98acb8985970
2006-07-08,UFC 61: Bitter Rivals,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/f70144caea5c4c80
2006-08-17,UFC Fight Night 6,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/46c8ec317aff28ac
2006-08-26,UFC 62: Liddell vs Sobral,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/f717b6002486f73f
2006-09-23,UFC 63: Hughes vs Penn,"Anaheim, California, USA",http://ufcstats.com/event-details/13e62d766b709aa6
2006-10-10,Ortiz vs Shamrock 3: The Final Chapter,"Hollywood, Florida, USA",http://ufcstats.com/event-details/577ec7e108b94be3
2006-10-14,UFC 64: Unstoppable,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/13b2f59210dda9cc
2006-11-11,The Ultimate Fighter: The Comeback Finale,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/baf942f4bcb09894
2006-11-18,UFC 65: Bad Intentions,"Sacramento, California, USA",http://ufcstats.com/event-details/3fed746acfd026dd
2006-12-13,UFC Fight Night: Sanchez vs Riggs,"San Diego, California, USA",http://ufcstats.com/event-details/21b8a0f5c231096f
2006-12-30,UFC 66: Liddell vs Ortiz 2,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/ee5df903f80c6816
2007-01-25,UFC Fight Night: Evans vs Salmon,"Hollywood, Florida, USA",http://ufcstats.com/event-details/13c4313ed0f744f3
2007-02-03,UFC 67: All or Nothing,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/63b65af1c5cb02cb
2007-03-03,UFC 68: The Uprising,"Columbus, Ohio, USA",http://ufcstats.com/event-details/de3ed2e152520c8d
2007-04-05,UFC Fight Night: Stevenson vs Guillard,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/a6c2f5381d575920
2007-04-07,UFC 69: Shootout,"Houston, Texas, USA",http://ufcstats.com/event-details/c1684f00c626f4c0
2007-04-21,UFC 70: Nations Collide,"Manchester, England, United Kingdom",http://ufcstats.com/event-details/4604ab1de9058474
2007-05-26,UFC 71: Liddell vs Jackson,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/2e04a3b4a2011b97
2007-06-12,UFC Fight Night: Stout vs Fisher,"Hollywood, Florida, USA",http://ufcstats.com/event-details/304fcd812f12c589
2007-06-16,UFC 72: Victory,"Belfast, Northern Ireland, United Kingdom",http://ufcstats.com/event-details/5ca158b1cc9cb242
2007-06-23,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/e7ec11096eac0282
2007-07-07,UFC 73: Stacked,"Sacramento, California, USA",http://ufcstats.com/event-details/2a6f8136da1e52c0
2007-08-25,UFC 74: Respect,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/a5c53b3ddb31cc7d
2007-09-08,UFC 75: Champion vs Champion,"London, England, United Kingdom",http://ufcstats.com/event-details/0aa92558424ced9e
2007-09-19,UFC Fight Night: Thomas vs Florian,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/f341f9551ba744e2
2007-09-22,UFC 76: Knockout,"Anaheim, California, USA",http://ufcstats.com/event-details/bad28b7b34f334de
2007-10-20,UFC 77: Hostile Territory,"Cincinnati, Ohio, USA",http://ufcstats.com/event-details/91181b29be041f1c
2007-11-17,UFC 78: Validation,"Newark, New Jersey, USA",http://ufcstats.com/event-details/1d147d4163a6989b
2007-12-08,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/df85d6ec3493d120
2007-12-29,UFC 79: Nemesis,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/7269329bd87eb479
2008-01-19,UFC 80: Rapid Fire,"Newcastle, England, United Kingdom",http://ufcstats.com/event-details/a24e080000fa7a35
2008-01-23,UFC Fight Night: Swick vs Burkman,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/33e33d51f289d2a1
2008-02-02,UFC 81: Breaking Point,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/597db668b01c442c
2008-03-01,UFC 82: Pride of a Champion,"Columbus, Ohio, USA",http://ufcstats.com/event-details/598a58db87b890ee
2008-04-02,UFC Fight Night: Florian vs Lauzon,"Broomfield, Colorado, USA",http://ufcstats.com/event-details/b9e871af730f826c
2008-04-19,UFC 83: Serra vs St-Pierre 2,"Montreal, Quebec, Canada",http://ufcstats.com/event-details/ad047e3073a775f3
2008-05-24,UFC 84: Ill Will,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/2549d63da9c456cb
2008-06-07,UFC 85: Bedlam,"London, England, United Kingdom",http://ufcstats.com/event-details/2efbc83a6b9b7f86
2008-06-21,The Ultimate Fighter: Team Rampage vs Team Forrest Finale,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/2299605af59fd309
2008-07-05,UFC 86: Jackson vs Griffin,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/bf12aca029bfcc47
2008-07-19,UFC: Silva vs Irvin,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/46f11d15c0134fe3
2008-08-09,UFC 87: Seek And Destroy,"Minneapolis, Minnesota, USA",http://ufcstats.com/event-details/19ffeb5e3fffd6d5
2008-09-06,UFC 88: Breakthrough,"Atlanta, Georgia, USA",http://ufcstats.com/event-details/0db70ca89e1c7374
2008-09-17,UFC Fight Night: Diaz vs Neer,"Omaha, Nebraska, USA",http://ufcstats.com/event-details/279093302a6f44b3
2008-10-18,UFC 89: Bisping vs Leben,"Birmingham, England, United Kingdom",http://ufcstats.com/event-details/312f47c3d2f83ffa
2008-10-25,UFC 90: Silva vs Cote,"Rosemont, Illinois, USA",http://ufcstats.com/event-details/c670aa48827d6be6
2008-11-15,UFC 91: Couture vs Lesnar,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/a2b06ca02bca14c0
2008-12-10,UFC Fight Night - Fight for the Troops,"Fayetteville, North Carolina, USA",http://ufcstats.com/event-details/30cd319d39ee689b
