Date,Event,ROUND,TIME,Results_1,Results_2,Fighter_1,Fighter_2,WEIGHT CLASS,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,PASS_1,PASS_2,METHOD_result,METHOD_note
2020-03-14,UFC Fight Night: Lee vs. Oliveira,3,5:00,win,,Nikita Krylov,Johnny Walker,Light Heavyweight,45,37,3,0,0,0,4,2,U-DEC,
2020-03-14,UFC Fight Night: Lee vs. Oliveira,3,5:00,win,,Francisco Trinaldo,John Makdessi,Lightweight,55,67,0,0,0,0,0,0,U-DEC,
2020-03-14,UFC Fight Night: Lee vs. Oliveira,3,5:00,win,,Brandon Moreno,Jussier Formiga,Flyweight,33,15,0,1,0,1,1,3,U-DEC,
2020-03-14,UFC Fight Night: Lee vs. Oliveira,3,5:00,win,,Amanda Ribas,Randa Markos,Women's Strawweight,85,36,1,1,2,0,4,0,U-DEC,
2020-03-14,UFC Fight Night: Lee vs. Oliveira,3,5:00,win,,Elizeu Zaleski dos Santos,Aleksei Kunchenko,Welterweight,62,57,2,0,0,0,0,0,U-DEC,
2020-03-14,UFC Fight Night: Lee vs. Oliveira,3,5:00,draw,draw,Rani Yahya,Enrique Barzola,Bantamweight,24,57,2,1,0,1,3,5,M-DEC,
2020-03-14,UFC Fight Night: Lee vs. Oliveira,3,5:00,win,,Maryna Moroz,Mayra Bueno Silva,Women's Flyweight,139,88,2,0,0,0,1,0,U-DEC,
2020-03-14,UFC Fight Night: Lee vs. Oliveira,3,5:00,win,,David Dvorak,Bruno Silva,Flyweight,67,45,0,3,0,0,1,2,U-DEC,
2020-03-14,UFC Fight Night: Lee vs. Oliveira,3,5:00,win,,Bea Malecki,Veronica Macedo,Women's Bantamweight,130,93,0,0,0,0,2,0,U-DEC,
2020-03-07,UFC 248: Adesanya vs. Romero,5,5:00,win,,Israel Adesanya,Yoel Romero,Middleweight,48,40,0,0,0,0,0,0,U-DEC,
2020-03-07,UFC 248: Adesanya vs. Romero,5,5:00,win,,Weili Zhang,Joanna Jedrzejczyk,Women's Strawweight,165,186,1,0,0,0,0,0,S-DEC,
2020-03-07,UFC 248: Adesanya vs. Romero,2,1:00,win,,Beneil Dariush,Drakkar Klose,Lightweight,12,15,1,0,2,0,1,0,KO/TKO,Punch
2020-03-07,UFC 248: Adesanya vs. Romero,3,5:00,win,,Neil Magny,Jingliang Li,Welterweight,74,16,4,2,0,0,2,0,U-DEC,
2020-03-07,UFC 248: Adesanya vs. Romero,3,5:00,win,,Alex Oliveira,Max Griffin,Welterweight,40,23,1,2,0,0,2,2,S-DEC,
2020-03-07,UFC 248: Adesanya vs. Romero,1,2:02,win,,Sean O'Malley,Jose Quinonez,Bantamweight,18,0,0,0,0,0,0,0,KO/TKO,Punches
2020-03-07,UFC 248: Adesanya vs. Romero,3,5:00,win,,Mark Madsen,Austin Hubbard,Lightweight,15,41,8,0,0,0,3,0,U-DEC,
2020-03-07,UFC 248: Adesanya vs. Romero,1,2:58,win,,Rodolfo Vieira,Saparbeg Safarov,Middleweight,5,5,2,0,1,0,2,0,SUB,Arm Triangle
2020-03-07,UFC 248: Adesanya vs. Romero,3,2:13,win,,Gerald Meerschaert,Deron Winn,Middleweight,86,53,1,1,1,0,1,0,SUB,Rear Naked Choke
2020-03-07,UFC 248: Adesanya vs. Romero,3,5:00,win,,Giga Chikadze,Jamall Emmers,Featherweight,38,54,0,2,0,0,0,1,S-DEC,
2020-03-07,UFC 248: Adesanya vs. Romero,1,3:01,win,,Danaa Batgerel,Guido Cannetti,Bantamweight,17,11,0,0,0,0,0,0,KO/TKO,Punch
2020-02-29,UFC Fight Night: Benavidez vs. Figueiredo,2,1:54,win,,Deiveson Figueiredo,Joseph Benavidez,Flyweight,25,46,1,0,1,0,0,0,KO/TKO,Punch
2020-02-29,UFC Fight Night: Benavidez vs. Figueiredo,1,3:37,win,,Felicia Spencer,Zarah Fairn,Women's Featherweight,40,13,1,0,0,0,2,0,KO/TKO,Punches
2020-02-29,UFC Fight Night: Benavidez vs. Figueiredo,1,0:38,win,,Magomed Ankalaev,Ion Cutelaba,Light Heavyweight,8,5,0,0,0,0,0,0,KO/TKO,Punches
2020-02-29,UFC Fight Night: Benavidez vs. Figueiredo,1,3:31,win,,Megan Anderson,Norma Dumont,Women's Featherweight,7,5,0,1,0,0,0,0,KO/TKO,Punch
2020-02-29,UFC Fight Night: Benavidez vs. Figueiredo,2,1:38,win,,Grant Dawson,Darrick Minner,Featherweight,15,4,2,1,2,2,6,0,SUB,Rear Naked Choke
2020-02-29,UFC Fight Night: Benavidez vs. Figueiredo,3,5:00,win,,Kyler Phillips,Gabriel Silva,Bantamweight,89,31,2,2,1,1,4,0,U-DEC,
2020-02-29,UFC Fight Night: Benavidez vs. Figueiredo,1,4:47,win,,Brendan Allen,Tom Breese,Middleweight,20,4,0,0,0,0,2,0,KO/TKO,Punches
2020-02-29,UFC Fight Night: Benavidez vs. Figueiredo,3,5:00,win,,Marcin Tybura,Serghei Spivac,Heavyweight,43,26,2,0,0,0,3,0,U-DEC,
2020-02-29,UFC Fight Night: Benavidez vs. Figueiredo,3,5:00,win,,Luis Pena,Steve Garcia,Lightweight,27,21,0,1,1,1,3,0,U-DEC,
2020-02-29,UFC Fight Night: Benavidez vs. Figueiredo,2,3:38,win,,Jordan Griffin,TJ Brown,Featherweight,15,32,0,7,3,0,0,4,SUB,Guillotine Choke
2020-02-29,UFC Fight Night: Benavidez vs. Figueiredo,1,1:25,win,,Spike Carlyle,Aalon Cruz,Featherweight,20,2,0,0,0,0,1,0,KO/TKO,Punches
2020-02-29,UFC Fight Night: Benavidez vs. Figueiredo,3,5:00,win,,Sean Brady,Ismail Naurdiev,Welterweight,47,37,4,0,1,0,6,0,U-DEC,
2020-02-22,UFC Fight Night: Felder vs. Hooker,5,5:00,win,,Dan Hooker,Paul Felder,Lightweight,122,110,1,0,0,0,1,0,S-DEC,
2020-02-22,UFC Fight Night: Felder vs. Hooker,1,3:29,win,,Jimmy Crute,Michal Oleksiejczuk,Light Heavyweight,2,3,8,0,1,0,4,0,SUB,Kimura
2020-02-22,UFC Fight Night: Felder vs. Hooker,3,5:00,win,,Xiaonan Yan,Karolina Kowalkiewicz,Women's Strawweight,93,38,5,0,0,1,3,0,U-DEC,
2020-02-22,UFC Fight Night: Felder vs. Hooker,1,1:28,win,,Marcos Rogerio de Lima,Ben Sosoli,Heavyweight,19,5,0,0,0,0,0,0,KO/TKO,Punch
2020-02-22,UFC Fight Night: Felder vs. Hooker,3,5:00,win,,Brad Riddell,Magomed Mustafaev,Lightweight,38,28,1,8,0,0,2,0,S-DEC,
2020-02-22,UFC Fight Night: Felder vs. Hooker,1,3:21,win,,Zubaira Tukhugov,Kevin Aguilar,Featherweight,28,9,0,0,0,0,0,0,KO/TKO,Punches
2020-02-22,UFC Fight Night: Felder vs. Hooker,2,3:01,win,,Jalin Turner,Josh Culibao,Lightweight,55,12,0,0,3,0,4,0,KO/TKO,Punches
2020-02-22,UFC Fight Night: Felder vs. Hooker,3,5:00,win,,Jake Matthews,Emil Meek,Welterweight,33,50,4,0,0,0,3,0,U-DEC,
2020-02-22,UFC Fight Night: Felder vs. Hooker,1,2:20,win,,Kenan Song,Callan Potter,Welterweight,17,7,0,1,0,0,0,1,KO/TKO,Punch
2020-02-22,UFC Fight Night: Felder vs. Hooker,3,5:00,win,,Kai Kara-France,Tyson Nam,Flyweight,78,50,0,0,0,0,0,0,U-DEC,
2020-02-22,UFC Fight Night: Felder vs. Hooker,3,5:00,win,,Angela Hill,Loma Lookboonmee,Women's Strawweight,48,53,1,1,1,0,1,0,U-DEC,
2020-02-22,UFC Fight Night: Felder vs. Hooker,1,0:40,win,,Priscila Cachoeira,Shana Dobson,Women's Flyweight,8,5,0,0,0,0,0,0,KO/TKO,Punch
2020-02-15,UFC Fight Night: Anderson vs. Blachowicz,1,3:08,win,,Jan Blachowicz,Corey Anderson,Light Heavyweight,13,11,0,0,0,0,0,0,KO/TKO,Punch
