BODY_1,BODY_2,CLINCH_1,CLINCH_2,DISTANCE_1,DISTANCE_2,Date,Event,Fighter_1,Fighter_2,GROUND_1,GROUND_2,HEAD_1,HEAD_2,KD_1,KD_2,LEG_1,LEG_2,METHOD,PASS_1,PASS_2,REFEREE,REV_1,REV_2,ROUND,SIG_STR_1,SIG_STR_2,SUB_ATT_1,SUB_ATT_2,TD_1,TD_2,TIME,TIME_FORMAT,TOTAL_STR_1,TOTAL_STR_2,pSIG_STR_1,pSIG_STR_2,pTD_1,pTD_2
1 of 2,0 of 1,1 of 2,0 of 1,3 of 12,2 of 10,2008-04-02,UFC Fight Night: Florian vs Lauzon,George Sotiropoulos,Roman Mitichyan,17 of 21,0 of 1,20 of 33,0 of 8,,,0 of 0,2 of 3,KO/TKO,,,Adam Martinez,,,2,21 of 35,2 of 12,,,3 of 4,0 of 0,2:24,3 Rnd (5-5-5),77 of 96,7 of 17,60%,16%,75%,0%
0 of 0,0 of 0,4 of 4,0 of 0,9 of 19,0 of 7,2008-04-02,UFC Fight Night: Florian vs Lauzon,Anthony Johnson,Tommy Speer,2 of 2,0 of 0,14 of 24,0 of 7,,,1 of 1,0 of 0,KO/TKO,,,Tim Mills,,,1,15 of 25,0 of 7,,,0 of 0,0 of 2,0:51,3 Rnd (5-5-5),15 of 25,0 of 7,60%,0%,0%,0%
0 of 0,0 of 0,0 of 0,0 of 0,1 of 1,0 of 1,2008-04-02,UFC Fight Night: Florian vs Lauzon,James Irvin,Houston Alexander,2 of 3,0 of 0,3 of 4,0 of 1,,,0 of 0,0 of 0,KO/TKO,,,Steve Mazzagatti,,,1,3 of 4,0 of 1,,,0 of 0,0 of 0,0:08,3 Rnd (5-5-5),3 of 4,0 of 1,75%,0%,0%,0%
3 of 3,1 of 1,1 of 1,0 of 0,0 of 4,2 of 4,2008-04-19,UFC 83: Serra vs St-Pierre 2,Jason MacDonald,Joe Doerksen,12 of 12,2 of 2,9 of 13,1 of 3,,,1 of 1,2 of 2,KO/TKO,,,Steve Mazzagatti,,,2,13 of 17,4 of 6,,,1 of 2,1 of 1,0:54,3 Rnd (5-5-5),25 of 29,11 of 13,76%,66%,50%,100%
19 of 19,1 of 1,2 of 2,1 of 3,10 of 12,2 of 15,2008-04-19,UFC 83: Serra vs St-Pierre 2,Georges St-Pierre,Matt Serra,30 of 40,0 of 0,23 of 35,1 of 16,,,0 of 0,1 of 1,KO/TKO,,,Yves Lavigne,,,2,42 of 54,3 of 18,,,4 of 5,0 of 0,4:45,5 Rnd (5-5-5-5-5),129 of 143,10 of 25,77%,16%,80%,0%
9 of 10,0 of 0,10 of 11,0 of 0,14 of 25,0 of 7,2008-04-19,UFC 83: Serra vs St-Pierre 2,Rich Franklin,Travis Lutter,4 of 7,1 of 2,18 of 32,1 of 9,,,1 of 1,0 of 0,KO/TKO,,,Steve Mazzagatti,,,2,28 of 43,1 of 9,,,0 of 0,1 of 9,3:01,3 Rnd (5-5-5),56 of 75,9 of 18,65%,11%,0%,11%
16 of 18,4 of 6,15 of 25,4 of 4,69 of 139,8 of 48,2008-04-19,UFC 83: Serra vs St-Pierre 2,Nate Quarry,Kalib Starnes,0 of 0,0 of 1,31 of 106,7 of 45,,,37 of 40,1 of 2,Decision - Unanimous,,,Dan Miragliotta,,,3,84 of 164,12 of 53,,,0 of 0,1 of 3,5:00,3 Rnd (5-5-5),84 of 164,12 of 53,51%,22%,0%,33%
20 of 25,0 of 0,25 of 43,0 of 0,12 of 44,1 of 12,2008-04-19,UFC 83: Serra vs St-Pierre 2,Michael Bisping,Charles McCarthy,2 of 3,0 of 0,19 of 65,0 of 11,,,0 of 0,1 of 1,KO/TKO,,,Philippe Chartier,,,1,39 of 90,1 of 12,,,0 of 0,1 of 1,5:00,3 Rnd (5-5-5),49 of 103,2 of 13,43%,8%,0%,100%
4 of 4,2 of 3,17 of 22,0 of 0,12 of 21,2 of 5,2008-04-19,UFC 83: Serra vs St-Pierre 2,Jason Day,Alan Belcher,0 of 0,1 of 3,24 of 38,1 of 5,,,1 of 1,0 of 0,KO/TKO,,,Dan Miragliotta,,,1,29 of 43,3 of 8,,,0 of 0,1 of 1,3:58,3 Rnd (5-5-5),67 of 82,6 of 11,67%,37%,0%,100%
2 of 3,3 of 3,0 of 1,4 of 4,3 of 3,0 of 2,2008-04-19,UFC 83: Serra vs St-Pierre 2,Demian Maia,Ed Herman,12 of 17,11 of 26,12 of 17,11 of 27,,,1 of 1,1 of 2,Submission,,,Philippe Chartier,,,2,15 of 21,15 of 32,,,1 of 8,1 of 1,2:27,3 Rnd (5-5-5),35 of 46,44 of 62,71%,46%,12%,100%
2 of 2,9 of 13,3 of 3,2 of 3,34 of 95,46 of 173,2008-04-19,UFC 83: Serra vs St-Pierre 2,Rich Clementi,Sam Stout,3 of 4,0 of 0,29 of 91,24 of 146,,,9 of 9,15 of 17,Decision - Split,,,Yves Lavigne,,,3,40 of 102,48 of 176,,,3 of 9,0 of 1,5:00,3 Rnd (5-5-5),69 of 132,53 of 181,39%,27%,33%,0%
3 of 3,0 of 0,5 of 5,0 of 0,5 of 10,1 of 4,2008-04-19,UFC 83: Serra vs St-Pierre 2,Cain Velasquez,Brad Morris,26 of 40,0 of 0,33 of 52,1 of 4,,,0 of 0,0 of 0,KO/TKO,,,Steve Mazzagatti,,,1,36 of 55,1 of 4,,,0 of 0,0 of 1,2:10,3 Rnd (5-5-5),62 of 83,1 of 4,65%,25%,0%,0%
5 of 5,0 of 0,9 of 20,0 of 0,22 of 58,9 of 26,2008-04-19,UFC 83: Serra vs St-Pierre 2,Jonathan Goulet,Kuniyoshi Hironaka,0 of 0,12 of 24,18 of 64,19 of 48,,,8 of 9,2 of 2,KO/TKO,,,Dan Miragliotta,,,2,31 of 78,21 of 50,,,0 of 0,1 of 5,2:07,3 Rnd (5-5-5),34 of 81,23 of 52,39%,42%,0%,20%
1 of 2,7 of 8,3 of 3,4 of 4,21 of 49,8 of 49,2008-04-19,UFC 83: Serra vs St-Pierre 2,Mac Danzig,Mark Bocek,22 of 36,10 of 24,42 of 83,15 of 69,,,3 of 3,0 of 0,Submission,,,Yves Lavigne,,,3,46 of 88,22 of 77,,,1 of 1,3 of 9,3:48,3 Rnd (5-5-5),148 of 190,27 of 82,52%,28%,100%,33%
0 of 0,0 of 0,0 of 0,0 of 0,5 of 10,1 of 4,2008-05-24,UFC 84: Ill Will,Wanderlei Silva,Keith Jardine,6 of 8,0 of 0,11 of 18,0 of 3,,,0 of 0,1 of 1,KO/TKO,,,Steve Mazzagatti,,,1,11 of 18,1 of 4,,,0 of 0,0 of 0,0:36,3 Rnd (5-5-5),11 of 18,1 of 4,61%,25%,0%,0%
5 of 9,4 of 4,0 of 0,9 of 11,22 of 44,17 of 43,2008-05-24,UFC 84: Ill Will,Goran Reljic,Wilson Gouveia,11 of 19,7 of 19,27 of 53,22 of 59,,,1 of 1,7 of 10,KO/TKO,,,Herb Dean,,,2,33 of 63,33 of 73,,,0 of 0,0 of 0,3:15,3 Rnd (5-5-5),39 of 74,38 of 78,52%,45%,0%,0%
11 of 11,3 of 3,9 of 10,5 of 11,110 of 162,41 of 151,2008-05-24,UFC 84: Ill Will,BJ Penn,Sean Sherk,3 of 3,0 of 0,109 of 162,26 of 142,,,2 of 2,17 of 17,KO/TKO,,,Mario Yamasaki,,,3,122 of 175,46 of 162,,,0 of 1,0 of 2,5:00,5 Rnd (5-5-5-5-5),130 of 183,52 of 169,69%,28%,0%,0%
6 of 7,11 of 11,1 of 1,11 of 15,34 of 47,5 of 38,2008-05-24,UFC 84: Ill Will,Lyoto Machida,Tito Ortiz,6 of 12,0 of 0,18 of 34,2 of 35,,,17 of 19,3 of 7,Decision - Unanimous,,,Yves Lavigne,,,3,41 of 60,16 of 53,,,1 of 1,0 of 7,5:00,3 Rnd (5-5-5),67 of 87,39 of 76,68%,30%,100%,0%
0 of 0,1 of 1,0 of 0,0 of 0,0 of 0,1 of 1,2008-05-24,UFC 84: Ill Will,Rousimar Palhares,Ivan Salaverry,0 of 0,0 of 0,0 of 0,0 of 0,,,0 of 0,0 of 0,Submission,,,Mario Yamasaki,,,1,0 of 0,1 of 1,,,1 of 1,0 of 0,2:36,3 Rnd (5-5-5),2 of 2,1 of 1,0%,100%,100%,0%
0 of 0,0 of 0,0 of 0,0 of 0,3 of 12,2 of 11,2008-05-24,UFC 84: Ill Will,Shane Carwin,Christian Wellisch,2 of 2,0 of 0,5 of 14,2 of 11,,,0 of 0,0 of 0,KO/TKO,,,Yves Lavigne,,,1,5 of 14,2 of 11,,,0 of 0,0 of 0,0:44,3 Rnd (5-5-5),5 of 14,2 of 11,35%,18%,0%,0%
6 of 6,5 of 5,4 of 4,0 of 0,20 of 40,6 of 23,2008-05-24,UFC 84: Ill Will,Rameau Thierry Sokoudjou,Kazuhiro Nakamura,2 of 2,0 of 0,7 of 27,1 of 18,,,13 of 13,0 of 0,KO/TKO,,,Steve Mazzagatti,,,1,26 of 46,6 of 23,,,0 of 0,0 of 0,5:00,3 Rnd (5-5-5),29 of 49,6 of 23,56%,26%,0%,0%
2 of 2,3 of 6,3 of 3,4 of 7,10 of 33,18 of 50,2008-05-24,UFC 84: Ill Will,Rich Clementi,Terry Etim,7 of 11,1 of 4,14 of 40,13 of 46,,,4 of 5,7 of 9,Decision - Unanimous,,,Yves Lavigne,,,3,20 of 47,23 of 61,,,4 of 8,0 of 0,5:00,3 Rnd (5-5-5),171 of 244,30 of 72,42%,37%,50%,0%
0 of 0,0 of 0,0 of 0,0 of 0,1 of 3,1 of 2,2008-05-24,UFC 84: Ill Will,Yoshiyuki Yoshida,Jon Koppenhaver,0 of 0,0 of 0,1 of 3,0 of 1,,,0 of 0,1 of 1,Submission,,,Herb Dean,,,1,1 of 3,1 of 2,,,1 of 1,0 of 0,0:56,3 Rnd (5-5-5),1 of 3,2 of 3,33%,50%,100%,0%
3 of 3,0 of 0,21 of 21,0 of 1,3 of 9,2 of 13,2008-05-24,UFC 84: Ill Will,Dong Hyun Kim,Jason Tan,53 of 62,0 of 0,74 of 89,1 of 13,,,0 of 0,1 of 1,KO/TKO,,,Steve Mazzagatti,,,3,77 of 92,2 of 14,,,3 of 3,0 of 6,0:25,3 Rnd (5-5-5),159 of 175,20 of 32,83%,14%,100%,0%
5 of 5,4 of 4,3 of 3,3 of 5,1 of 2,2 of 6,2008-05-24,UFC 84: Ill Will,Thiago Silva,Antonio Mendes,15 of 18,0 of 1,14 of 18,1 of 8,,,0 of 0,0 of 0,KO/TKO,,,Herb Dean,,,1,19 of 23,5 of 12,,,0 of 0,1 of 2,2:24,3 Rnd (5-5-5),20 of 24,8 of 15,82%,41%,0%,50%
2 of 2,0 of 0,2 of 2,0 of 0,3 of 6,0 of 3,2008-06-07,UFC 85: Bedlam,Thiago Alves,Matt Hughes,5 of 8,9 of 10,8 of 14,2 of 6,,,0 of 0,7 of 7,KO/TKO,,,Herb Dean,,,2,10 of 16,9 of 13,,,1 of 1,1 of 7,1:02,3 Rnd (5-5-5),24 of 31,18 of 22,62%,69%,100%,14%
3 of 3,0 of 1,4 of 5,0 of 0,4 of 13,7 of 12,2008-06-07,UFC 85: Bedlam,Michael Bisping,Jason Day,17 of 25,0 of 0,18 of 36,3 of 7,,,4 of 4,4 of 4,KO/TKO,,,Dan Miragliotta,,,1,25 of 43,7 of 12,,,2 of 2,0 of 0,3:42,3 Rnd (5-5-5),40 of 61,8 of 13,58%,58%,100%,0%
13 of 20,3 of 4,9 of 20,14 of 17,6 of 21,13 of 33,2008-06-07,UFC 85: Bedlam,Mike Swick,Marcus Davis,17 of 45,4 of 5,14 of 61,20 of 41,,,5 of 5,8 of 10,Decision - Unanimous,,,Mario Yamasaki,,,3,32 of 86,31 of 55,,,2 of 2,3 of 5,5:00,3 Rnd (5-5-5),71 of 131,82 of 107,37%,56%,100%,60%
1 of 4,8 of 13,1 of 3,8 of 10,8 of 35,11 of 39,2008-06-07,UFC 85: Bedlam,Thales Leites,Nate Marquardt,4 of 7,16 of 23,12 of 41,23 of 55,,,0 of 0,4 of 4,Decision - Split,,,Herb Dean,,,3,13 of 45,35 of 72,,,0 of 1,5 of 7,5:00,3 Rnd (5-5-5),33 of 66,49 of 88,28%,48%,0%,71%
2 of 3,5 of 5,5 of 7,10 of 12,2 of 11,3 of 8,2008-06-07,UFC 85: Bedlam,Fabricio Werdum,Brandon Vera,8 of 18,2 of 2,10 of 29,6 of 12,,,3 of 4,4 of 5,KO/TKO,,,Dan Miragliotta,,,1,15 of 36,15 of 22,,,2 of 4,0 of 0,4:40,3 Rnd (5-5-5),23 of 50,20 of 27,41%,68%,50%,0%
0 of 1,1 of 1,1 of 1,0 of 0,4 of 9,2 of 7,2008-06-07,UFC 85: Bedlam,Kevin Burns,Roan Carneiro,3 of 3,10 of 23,7 of 11,10 of 28,,,1 of 1,1 of 1,Submission,,,Mario Yamasaki,,,2,8 of 13,12 of 30,,,0 of 0,2 of 6,3:50,3 Rnd (5-5-5),55 of 61,36 of 57,61%,40%,0%,33%
0 of 0,2 of 2,3 of 8,4 of 4,10 of 18,4 of 19,2008-06-07,UFC 85: Bedlam,Luiz Cane,Jason Lambert,2 of 2,0 of 0,14 of 27,4 of 18,,,1 of 1,2 of 3,KO/TKO,,,Herb Dean,,,1,15 of 28,8 of 23,,,0 of 0,0 of 2,2:07,3 Rnd (5-5-5),28 of 41,13 of 28,53%,34%,0%,0%
12 of 12,6 of 7,22 of 28,14 of 20,13 of 34,16 of 43,2008-06-07,UFC 85: Bedlam,Paul Taylor,Jess Liaudin,10 of 24,5 of 7,24 of 64,27 of 61,,,9 of 10,2 of 2,Decision - Split,,,Dan Miragliotta,,,3,45 of 86,35 of 70,,,1 of 1,7 of 13,5:00,3 Rnd (5-5-5),134 of 180,57 of 94,52%,50%,100%,53%
8 of 10,1 of 1,24 of 34,14 of 21,24 of 41,18 of 44,2008-06-07,UFC 85: Bedlam,Antoni Hardonk,Eddie Sanchez,0 of 0,1 of 2,32 of 56,32 of 66,,,8 of 9,0 of 0,KO/TKO,,,Mario Yamasaki,,,2,48 of 75,33 of 67,,,0 of 0,2 of 4,4:15,3 Rnd (5-5-5),51 of 78,67 of 110,64%,49%,0%,50%
2 of 2,0 of 0,1 of 1,0 of 0,1 of 4,2 of 6,2008-06-07,UFC 85: Bedlam,Martin Kampmann,Jorge Rivera,2 of 4,0 of 0,2 of 7,0 of 4,,,0 of 0,2 of 2,Submission,,,Herb Dean,,,1,4 of 9,2 of 6,,,1 of 1,0 of 0,2:44,3 Rnd (5-5-5),17 of 24,3 of 7,44%,33%,100%,0%
6 of 7,2 of 3,7 of 9,6 of 9,8 of 22,4 of 16,2008-06-07,UFC 85: Bedlam,Matt Wiman,Thiago Tavares,3 of 3,3 of 10,12 of 26,11 of 32,,,0 of 1,0 of 0,KO/TKO,,,Dan Miragliotta,,,2,18 of 34,13 of 35,,,2 of 4,1 of 3,1:57,3 Rnd (5-5-5),54 of 73,39 of 77,52%,37%,50%,33%
4 of 7,7 of 11,2 of 4,6 of 8,11 of 39,19 of 40,2008-06-21,The Ultimate Fighter: Team Rampage vs Team Forrest Finale,Dustin Hazelett,Joshua Burkman,0 of 0,9 of 12,9 of 36,20 of 39,,,0 of 0,7 of 10,Submission,,,Josh Rosenthal,,,2,13 of 43,34 of 60,,,1 of 1,1 of 1,4:46,3 Rnd (5-5-5),15 of 45,44 of 70,30%,56%,100%,100%
10 of 10,5 of 5,37 of 43,15 of 17,22 of 53,9 of 24,2008-06-21,The Ultimate Fighter: Team Rampage vs Team Forrest Finale,Kendall Grove,Evan Tanner,0 of 0,3 of 6,47 of 84,15 of 35,,,2 of 2,7 of 7,Decision - Split,,,Steve Mazzagatti,,,3,59 of 96,27 of 47,,,0 of 0,3 of 8,5:00,3 Rnd (5-5-5),90 of 127,35 of 57,61%,57%,0%,37%
2 of 3,0 of 1,0 of 0,0 of 0,2 of 5,2 of 4,2008-06-21,The Ultimate Fighter: Team Rampage vs Team Forrest Finale,Amir Sadollah,CB Dollaway,0 of 0,4 of 12,0 of 2,4 of 13,,,0 of 0,2 of 2,Submission,,,Herb Dean,,,1,2 of 5,6 of 16,,,0 of 0,1 of 1,3:02,3 Rnd (5-5-5),5 of 8,11 of 22,40%,37%,0%,100%
8 of 8,5 of 6,13 of 22,13 of 31,24 of 70,14 of 49,2008-06-21,The Ultimate Fighter: Team Rampage vs Team Forrest Finale,Diego Sanchez,Luigi Fioravanti,14 of 24,0 of 0,41 of 105,18 of 67,,,2 of 3,4 of 7,KO/TKO,,,Josh Rosenthal,,,3,51 of 116,27 of 80,,,0 of 8,1 of 3,4:07,3 Rnd (5-5-5),56 of 121,30 of 83,43%,33%,0%,33%
3 of 3,0 of 0,15 of 23,3 of 5,3 of 8,0 of 1,2008-06-21,The Ultimate Fighter: Team Rampage vs Team Forrest Finale,Drew McFedries,Marvin Eastman,1 of 1,0 of 0,15 of 27,3 of 6,,,1 of 2,0 of 0,KO/TKO,,,Steve Mazzagatti,,,1,19 of 32,3 of 6,,,1 of 1,1 of 3,1:08,3 Rnd (5-5-5),22 of 35,7 of 10,59%,50%,100%,33%
26 of 34,19 of 34,42 of 51,24 of 43,1 of 10,9 of 18,2008-06-21,The Ultimate Fighter: Team Rampage vs Team Forrest Finale,Matthew Riddle,Dante Rivera,17 of 19,1 of 3,15 of 25,11 of 26,,,19 of 21,4 of 4,Decision - Unanimous,,,Herb Dean,,,3,60 of 80,34 of 64,,,5 of 6,0 of 5,5:00,3 Rnd (5-5-5),129 of 151,64 of 95,75%,53%,83%,0%
9 of 13,3 of 5,9 of 12,9 of 19,12 of 28,14 of 41,2008-06-21,The Ultimate Fighter: Team Rampage vs Team Forrest Finale,Matt Brown,Matt Arroyo,11 of 25,3 of 4,22 of 51,18 of 53,,,1 of 1,5 of 6,KO/TKO,,,Herb Dean,,,2,32 of 65,26 of 64,,,0 of 0,2 of 6,3:40,3 Rnd (5-5-5),53 of 95,34 of 76,49%,40%,0%,33%
0 of 0,0 of 0,0 of 2,0 of 0,5 of 18,2 of 28,2008-06-21,The Ultimate Fighter: Team Rampage vs Team Forrest Finale,Dean Lister,Jeremy Horn,1 of 2,0 of 0,5 of 21,2 of 27,,,1 of 1,0 of 1,Submission,,,Josh Rosenthal,,,1,6 of 22,2 of 28,,,1 of 4,0 of 0,3:52,3 Rnd (5-5-5),9 of 25,15 of 41,27%,7%,25%,0%
0 of 0,5 of 5,0 of 0,0 of 0,1 of 2,1 of 1,2008-06-21,The Ultimate Fighter: Team Rampage vs Team Forrest Finale,Rob Kimmons,Rob Yundt,8 of 11,4 of 5,9 of 13,0 of 1,,,0 of 0,0 of 0,Submission,,,Herb Dean,,,1,9 of 13,5 of 6,,,1 of 1,1 of 1,3:58,3 Rnd (5-5-5),25 of 29,45 of 46,69%,83%,100%,100%
15 of 19,6 of 9,14 of 20,8 of 9,23 of 42,9 of 35,2008-06-21,The Ultimate Fighter: Team Rampage vs Team Forrest Finale,Spencer Fisher,Jeremy Stephens,19 of 42,6 of 11,32 of 75,15 of 43,,,9 of 10,2 of 3,Decision - Unanimous,,,Steve Mazzagatti,,,3,56 of 104,23 of 55,,,1 of 5,2 of 4,5:00,3 Rnd (5-5-5),132 of 201,63 of 97,53%,41%,20%,50%
8 of 13,6 of 8,9 of 19,12 of 18,15 of 61,21 of 63,2008-07-05,UFC 86: Jackson vs Griffin,Justin Buchholz,Corey Hill,0 of 0,1 of 7,13 of 56,27 of 77,,,3 of 11,1 of 3,Submission,,,Steve Mazzagatti,,,2,24 of 80,34 of 88,,,0 of 0,2 of 2,3:57,3 Rnd (5-5-5),40 of 96,44 of 98,30%,38%,0%,100%
0 of 0,0 of 0,0 of 0,0 of 0,4 of 5,0 of 1,2008-07-05,UFC 86: Jackson vs Griffin,Melvin Guillard,Dennis Siver,6 of 10,0 of 0,10 of 15,0 of 1,,,0 of 0,0 of 0,KO/TKO,,,Herb Dean,,,1,10 of 15,0 of 1,,,0 of 0,0 of 0,0:36,3 Rnd (5-5-5),10 of 15,0 of 1,66%,0%,0%,0%
12 of 25,0 of 2,7 of 18,13 of 24,24 of 111,38 of 95,2008-07-05,UFC 86: Jackson vs Griffin,Cole Miller,Jorge Gurgel,10 of 12,3 of 8,24 of 111,34 of 101,,,5 of 5,20 of 24,Submission,,,Yves Lavigne,,,3,41 of 141,54 of 127,,,1 of 2,3 of 3,4:48,3 Rnd (5-5-5),59 of 159,76 of 151,29%,42%,50%,100%
2 of 2,0 of 0,0 of 0,0 of 0,3 of 4,2 of 9,2008-07-05,UFC 86: Jackson vs Griffin,Gabriel Gonzaga,Justin McCully,3 of 4,0 of 0,1 of 3,0 of 5,,,3 of 3,2 of 4,Submission,,,Steve Mazzagatti,,,1,6 of 8,2 of 9,,,1 of 1,0 of 0,1:57,3 Rnd (5-5-5),16 of 19,2 of 9,75%,22%,100%,0%
24 of 42,6 of 6,8 of 11,7 of 8,64 of 132,13 of 72,2008-07-05,UFC 86: Jackson vs Griffin,Tyson Griffin,Marcus Aurelio,20 of 32,0 of 0,47 of 107,13 of 73,,,21 of 26,1 of 1,Decision - Unanimous,,,Herb Dean,,,3,92 of 175,20 of 80,,,3 of 3,0 of 4,5:00,3 Rnd (5-5-5),144 of 227,41 of 102,52%,25%,100%,0%
3 of 3,3 of 4,4 of 5,2 of 3,5 of 15,14 of 62,2008-07-05,UFC 86: Jackson vs Griffin,Josh Koscheck,Chris Lytle,29 of 38,0 of 0,33 of 53,11 of 56,,,2 of 2,2 of 5,Decision - Unanimous,,,Yves Lavigne,,,3,38 of 58,16 of 65,,,2 of 4,0 of 0,5:00,3 Rnd (5-5-5),103 of 125,43 of 93,65%,24%,50%,0%
3 of 3,0 of 0,4 of 5,0 of 3,6 of 20,3 of 20,2008-07-05,UFC 86: Jackson vs Griffin,Joe Stevenson,Gleison Tibau,2 of 2,1 of 1,8 of 23,4 of 24,,,1 of 1,0 of 0,Submission,,,Steve Mazzagatti,,,2,12 of 27,4 of 24,,,1 of 3,5 of 5,2:57,3 Rnd (5-5-5),13 of 28,28 of 48,44%,16%,33%,100%
3 of 4,11 of 12,5 of 8,2 of 2,16 of 52,9 of 39,2008-07-05,UFC 86: Jackson vs Griffin,Patrick Cote,Ricardo Almeida,3 of 4,15 of 21,13 of 52,15 of 50,,,8 of 8,0 of 0,Decision - Split,,,Herb Dean,,,3,24 of 64,26 of 62,,,0 of 0,2 of 11,5:00,3 Rnd (5-5-5),39 of 80,36 of 72,37%,41%,0%,18%
11 of 25,9 of 10,8 of 12,13 of 19,56 of 236,30 of 108,2008-07-05,UFC 86: Jackson vs Griffin,Forrest Griffin,Rampage Jackson,13 of 28,7 of 11,31 of 205,38 of 125,,,35 of 46,3 of 3,Decision - Unanimous,,,Yves Lavigne,,,5,77 of 276,50 of 138,,,0 of 1,0 of 1,5:00,5 Rnd (5-5-5-5-5),113 of 326,73 of 163,27%,36%,0%,0%
12 of 14,2 of 5,22 of 31,10 of 13,12 of 37,19 of 39,2008-07-19,UFC: Silva vs Irvin,Brandon Vera,Reese Andy,4 of 6,1 of 1,17 of 49,8 of 25,,,9 of 11,20 of 23,Decision - Unanimous,,,Steve Mazzagatti,,,3,38 of 74,30 of 53,,,2 of 4,1 of 5,5:00,3 Rnd (5-5-5),51 of 89,95 of 118,51%,56%,50%,20%
1 of 1,0 of 0,1 of 1,0 of 0,0 of 1,1 of 1,2008-07-19,UFC: Silva vs Irvin,Cain Velasquez,Jake O'Brien,23 of 24,0 of 0,23 of 25,1 of 1,,,0 of 0,0 of 0,KO/TKO,,,Mario Yamasaki,,,1,24 of 26,1 of 1,,,1 of 1,0 of 0,2:02,3 Rnd (5-5-5),79 of 83,1 of 1,92%,100%,100%,0%
0 of 0,0 of 0,0 of 0,0 of 0,5 of 5,0 of 3,2008-07-19,UFC: Silva vs Irvin,Anderson Silva,James Irvin,8 of 8,0 of 0,11 of 11,0 of 2,,,2 of 2,0 of 1,KO/TKO,,,Mario Yamasaki,,,1,13 of 13,0 of 3,,,0 of 0,0 of 0,1:01,3 Rnd (5-5-5),13 of 13,0 of 3,100%,0%,0%,0%
9 of 11,15 of 16,11 of 16,13 of 16,25 of 66,33 of 71,2008-07-19,UFC: Silva vs Irvin,Kevin Burns,Anthony Johnson,1 of 1,5 of 11,12 of 50,27 of 71,,,16 of 22,9 of 11,KO/TKO,,,Steve Mazzagatti,,,3,37 of 83,51 of 98,,,0 of 1,5 of 6,3:35,3 Rnd (5-5-5),93 of 140,106 of 157,44%,52%,0%,83%
11 of 11,2 of 3,5 of 8,4 of 8,10 of 19,14 of 30,2008-07-19,UFC: Silva vs Irvin,Frankie Edgar,Hermes Franca,54 of 85,0 of 0,51 of 94,13 of 31,,,7 of 7,3 of 4,Decision - Unanimous,,,Yves Lavigne,,,3,69 of 112,18 of 38,,,10 of 11,0 of 0,5:00,3 Rnd (5-5-5),124 of 171,63 of 94,61%,47%,90%,0%
0 of 2,2 of 2,0 of 0,0 of 0,17 of 66,6 of 22,2008-07-19,UFC: Silva vs Irvin,Tim Credeur,Cale Yarbrough,2 of 2,0 of 0,19 of 66,2 of 17,,,0 of 0,2 of 3,KO/TKO,,,Mario Yamasaki,,,1,19 of 68,6 of 22,,,0 of 0,0 of 0,1:54,3 Rnd (5-5-5),19 of 68,6 of 22,27%,27%,0%,0%
0 of 0,0 of 0,0 of 0,0 of 0,2 of 4,1 of 6,2008-07-19,UFC: Silva vs Irvin,Shannon Gugerty,Dale Hartt,1 of 4,0 of 0,1 of 5,0 of 4,,,2 of 3,1 of 2,Submission,,,Yves Lavigne,,,1,3 of 8,1 of 6,,,1 of 1,0 of 0,3:33,3 Rnd (5-5-5),16 of 23,2 of 7,37%,16%,100%,0%
1 of 1,0 of 0,1 of 1,1 of 2,5 of 21,17 of 30,2008-07-19,UFC: Silva vs Irvin,Rory Markham,Brodie Farber,0 of 0,0 of 0,5 of 21,16 of 30,,,0 of 0,2 of 2,KO/TKO,,,Steve Mazzagatti,,,1,6 of 22,18 of 32,,,0 of 0,0 of 0,1:37,3 Rnd (5-5-5),6 of 22,18 of 32,27%,56%,0%,0%
0 of 2,1 of 1,0 of 0,0 of 0,1 of 3,2 of 6,2008-07-19,UFC: Silva vs Irvin,Nate Loughran,Johnny Rees,0 of 0,5 of 9,0 of 0,6 of 14,,,1 of 1,0 of 0,Submission,,,Yves Lavigne,,,1,1 of 3,7 of 15,,,0 of 0,0 of 0,4:21,3 Rnd (5-5-5),10 of 12,10 of 19,33%,46%,0%,0%
4 of 5,3 of 3,5 of 8,0 of 1,30 of 52,9 of 32,2008-07-19,UFC: Silva vs Irvin,Brad Blackburn,James Giboo,18 of 27,0 of 0,46 of 77,4 of 28,,,3 of 5,2 of 2,KO/TKO,,,Steve Mazzagatti,,,2,53 of 87,9 of 33,,,0 of 0,0 of 6,2:29,3 Rnd (5-5-5),84 of 120,14 of 38,60%,27%,0%,0%
1 of 1,1 of 1,3 of 3,3 of 4,0 of 2,0 of 2,2008-07-19,UFC: Silva vs Irvin,CB Dollaway,Jesse Taylor,1 of 2,1 of 7,2 of 5,2 of 11,,,1 of 1,1 of 1,Submission,,,Yves Lavigne,,,1,4 of 7,4 of 13,,,0 of 1,1 of 3,3:58,3 Rnd (5-5-5),9 of 12,25 of 40,57%,30%,0%,33%
13 of 17,12 of 19,5 of 5,6 of 18,77 of 151,26 of 107,2008-08-09,UFC 87: Seek And Destroy,Georges St-Pierre,Jon Fitch,49 of 70,5 of 7,103 of 193,22 of 109,,,15 of 16,3 of 4,Decision - Unanimous,,,Yves Lavigne,,,5,131 of 226,37 of 132,,,7 of 9,0 of 6,5:00,5 Rnd (5-5-5-5-5),203 of 303,96 of 193,57%,28%,77%,0%
