Date,Event,match_url
2017-10-28,UFC Fight Night: Brunson vs. Machida,http://ufcstats.com/fight-details/e11e290d816c119b
2017-11-04,UFC 217: Bisping vs. St-Pierre,http://ufcstats.com/fight-details/d361b51952944a26
2017-11-04,UFC 217: Bisping vs. St-Pierre,http://ufcstats.com/fight-details/b3a304eadb9f7fb4
2017-11-04,UFC 217: Bisping vs. St-Pierre,http://ufcstats.com/fight-details/fc29884851f9cebb
2017-11-04,UFC 217: Bisping vs. St-Pierre,http://ufcstats.com/fight-details/80572cac6ab57866
2017-11-04,UFC 217: Bisping vs. St-Pierre,http://ufcstats.com/fight-details/0a46cb2887890502
2017-11-04,UFC 217: Bisping vs. St-Pierre,http://ufcstats.com/fight-details/13635ba71963ad0c
2017-11-04,UFC 217: Bisping vs. St-Pierre,http://ufcstats.com/fight-details/8375f311e8c6c079
2017-11-04,UFC 217: Bisping vs. St-Pierre,http://ufcstats.com/fight-details/5cab50839f4a0d94
2017-11-04,UFC 217: Bisping vs. St-Pierre,http://ufcstats.com/fight-details/e686df21c24c6c03
2017-11-04,UFC 217: Bisping vs. St-Pierre,http://ufcstats.com/fight-details/8c2fb17981464d8c
2017-11-04,UFC 217: Bisping vs. St-Pierre,http://ufcstats.com/fight-details/56d8cc470841f454
2017-11-11,UFC Fight Night: Poirier vs. Pettis,http://ufcstats.com/fight-details/b55605791a4d72b9
2017-11-11,UFC Fight Night: Poirier vs. Pettis,http://ufcstats.com/fight-details/b6b5ec324449befd
2017-11-11,UFC Fight Night: Poirier vs. Pettis,http://ufcstats.com/fight-details/603354ffe9cc0755
2017-11-11,UFC Fight Night: Poirier vs. Pettis,http://ufcstats.com/fight-details/7ad85c84025c0db0
2017-11-11,UFC Fight Night: Poirier vs. Pettis,http://ufcstats.com/fight-details/935f559ab0521c27
2017-11-11,UFC Fight Night: Poirier vs. Pettis,http://ufcstats.com/fight-details/151c597d2e609a4e
2017-11-11,UFC Fight Night: Poirier vs. Pettis,http://ufcstats.com/fight-details/5db3e2fdd18129a4
2017-11-11,UFC Fight Night: Poirier vs. Pettis,http://ufcstats.com/fight-details/60de5efe5b439c8b
2017-11-11,UFC Fight Night: Poirier vs. Pettis,http://ufcstats.com/fight-details/7006a98fe9944571
2017-11-11,UFC Fight Night: Poirier vs. Pettis,http://ufcstats.com/fight-details/d3c78cc516417797
2017-11-11,UFC Fight Night: Poirier vs. Pettis,http://ufcstats.com/fight-details/78e554aa129711ba
2017-11-11,UFC Fight Night: Poirier vs. Pettis,http://ufcstats.com/fight-details/4b202bae6c87b98b
2017-11-11,UFC Fight Night: Poirier vs. Pettis,http://ufcstats.com/fight-details/5519d7fe2cee8353
2017-11-18,UFC Fight Night: Werdum vs. Tybura,http://ufcstats.com/fight-details/097bc98e15722998
2017-11-18,UFC Fight Night: Werdum vs. Tybura,http://ufcstats.com/fight-details/4b0aa5c67e69ce74
2017-11-18,UFC Fight Night: Werdum vs. Tybura,http://ufcstats.com/fight-details/2060e8172f820d80
2017-11-18,UFC Fight Night: Werdum vs. Tybura,http://ufcstats.com/fight-details/5ebe8d3849273776
2017-11-18,UFC Fight Night: Werdum vs. Tybura,http://ufcstats.com/fight-details/344bfe9c1ff511bb
2017-11-18,UFC Fight Night: Werdum vs. Tybura,http://ufcstats.com/fight-details/569e2c02f7699c0d
2017-11-18,UFC Fight Night: Werdum vs. Tybura,http://ufcstats.com/fight-details/fd2c018aade60a14
2017-11-18,UFC Fight Night: Werdum vs. Tybura,http://ufcstats.com/fight-details/6971094300073d47
2017-11-18,UFC Fight Night: Werdum vs. Tybura,http://ufcstats.com/fight-details/823797bc6d532b52
2017-11-18,UFC Fight Night: Werdum vs. Tybura,http://ufcstats.com/fight-details/23b6ffc0223f8cce
2017-11-18,UFC Fight Night: Werdum vs. Tybura,http://ufcstats.com/fight-details/c06eaf92bdfde8e6
2017-11-18,UFC Fight Night: Werdum vs. Tybura,http://ufcstats.com/fight-details/51ec53f442d2cc9b
2017-11-18,UFC Fight Night: Werdum vs. Tybura,http://ufcstats.com/fight-details/b90a5b9061ec54a5
2017-11-25,UFC Fight Night: Bisping vs. Gastelum,http://ufcstats.com/fight-details/62eaf9f2436bef25
2017-11-25,UFC Fight Night: Bisping vs. Gastelum,http://ufcstats.com/fight-details/9f428684f3db247f
2017-11-25,UFC Fight Night: Bisping vs. Gastelum,http://ufcstats.com/fight-details/32ad75f6c8ca7e9f
2017-11-25,UFC Fight Night: Bisping vs. Gastelum,http://ufcstats.com/fight-details/52bae6f01ea9f926
2017-11-25,UFC Fight Night: Bisping vs. Gastelum,http://ufcstats.com/fight-details/4ba97e13df33388b
2017-11-25,UFC Fight Night: Bisping vs. Gastelum,http://ufcstats.com/fight-details/34c39a5a5917e0ec
2017-11-25,UFC Fight Night: Bisping vs. Gastelum,http://ufcstats.com/fight-details/47628ab025f19796
2017-11-25,UFC Fight Night: Bisping vs. Gastelum,http://ufcstats.com/fight-details/c8609059d2d87724
2017-11-25,UFC Fight Night: Bisping vs. Gastelum,http://ufcstats.com/fight-details/4d5c3ddc740b89ca
2017-11-25,UFC Fight Night: Bisping vs. Gastelum,http://ufcstats.com/fight-details/e5fbb99bc3907516
2017-11-25,UFC Fight Night: Bisping vs. Gastelum,http://ufcstats.com/fight-details/43ae6a9daa51ed93
2017-11-25,UFC Fight Night: Bisping vs. Gastelum,http://ufcstats.com/fight-details/903feee04bc91c59
2017-12-01,The Ultimate Fighter: A New World Champion Finale,http://ufcstats.com/fight-details/2f1f16c86a8cc6e2
2017-12-01,The Ultimate Fighter: A New World Champion Finale,http://ufcstats.com/fight-details/c11b2cbe2460db0c
2017-12-01,The Ultimate Fighter: A New World Champion Finale,http://ufcstats.com/fight-details/dd0c8e9880c6fa24
2017-12-01,The Ultimate Fighter: A New World Champion Finale,http://ufcstats.com/fight-details/52db9c816eb99800
2017-12-01,The Ultimate Fighter: A New World Champion Finale,http://ufcstats.com/fight-details/c4785ee94698e532
2017-12-01,The Ultimate Fighter: A New World Champion Finale,http://ufcstats.com/fight-details/37835a0f9bbb4d4e
2017-12-01,The Ultimate Fighter: A New World Champion Finale,http://ufcstats.com/fight-details/f9830f1c23ac92d0
2017-12-01,The Ultimate Fighter: A New World Champion Finale,http://ufcstats.com/fight-details/b40bed83fc062380
2017-12-01,The Ultimate Fighter: A New World Champion Finale,http://ufcstats.com/fight-details/8b79a80f775d9f03
2017-12-01,The Ultimate Fighter: A New World Champion Finale,http://ufcstats.com/fight-details/f0e0effb1b2de6ae
2017-12-01,The Ultimate Fighter: A New World Champion Finale,http://ufcstats.com/fight-details/1eccf793b54b84f8
2017-12-02,UFC 218: Holloway vs. Aldo 2,http://ufcstats.com/fight-details/21f7fc538ea646e8
2017-12-02,UFC 218: Holloway vs. Aldo 2,http://ufcstats.com/fight-details/4712708adb1507aa
2017-12-02,UFC 218: Holloway vs. Aldo 2,http://ufcstats.com/fight-details/cc2809e10315a6b5
2017-12-02,UFC 218: Holloway vs. Aldo 2,http://ufcstats.com/fight-details/23e5acd1549b538a
2017-12-02,UFC 218: Holloway vs. Aldo 2,http://ufcstats.com/fight-details/ea674e0285fb77f5
2017-12-02,UFC 218: Holloway vs. Aldo 2,http://ufcstats.com/fight-details/6aea6d3e6944999c
2017-12-02,UFC 218: Holloway vs. Aldo 2,http://ufcstats.com/fight-details/54c5284c1b792912
2017-12-02,UFC 218: Holloway vs. Aldo 2,http://ufcstats.com/fight-details/676320a61f800f10
2017-12-02,UFC 218: Holloway vs. Aldo 2,http://ufcstats.com/fight-details/1a502852b706f674
2017-12-02,UFC 218: Holloway vs. Aldo 2,http://ufcstats.com/fight-details/6c25f8fd66f16d7e
2017-12-02,UFC 218: Holloway vs. Aldo 2,http://ufcstats.com/fight-details/a3b7cbdb6d2607f4
2017-12-02,UFC 218: Holloway vs. Aldo 2,http://ufcstats.com/fight-details/40d9b5b47acf260b
2017-12-02,UFC 218: Holloway vs. Aldo 2,http://ufcstats.com/fight-details/c83487136636e9bf
2017-12-09,UFC Fight Night: Swanson vs. Ortega,http://ufcstats.com/fight-details/1d166488129030d0
2017-12-09,UFC Fight Night: Swanson vs. Ortega,http://ufcstats.com/fight-details/0a444f30cae13d8f
