Date,Event,Weight class,Fighter1,Result,Fighter2,Method,Round,Time,Note,Time (secs)
2008-12-27,UFC 92: The Ultimate 2008,Heavyweight,Frank Mir,def.,Antônio Rodrigo Nogueira (ic),TKO (punches),2.0,1:54,[b],114
2008-12-27,UFC 92: The Ultimate 2008,Light Heavyweight,Rashad Evans,def.,Forrest Griffin (c),TKO (punches),3.0,2:46,[a],166
2008-12-27,UFC 92: The Ultimate 2008,Heavyweight,Pat Barry,def.,Dan Evensen,TKO (leg kicks),1.0,2:36,-,156
2008-12-27,UFC 92: The Ultimate 2008,Light Heavyweight,Quinton Jackson,def.,Wanderlei Silva,KO (punch),1.0,3:21,-,201
2009-01-17,UFC 93: Franklin vs. Henderson,Middleweight,Rousimar Palhares,def.,Jeremy Horn,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2009-01-17,UFC 93: Franklin vs. Henderson,Lightweight,Dennis Siver,def.,Nate Mohr,TKO (spinning back kick and punches),3.0,3:47,-,227
2009-01-17,UFC 93: Franklin vs. Henderson,Light Heavyweight,Tomasz Drwal,def.,Ivan Serati,KO (punches),1.0,2:02,-,122
2009-01-17,UFC 93: Franklin vs. Henderson,Light Heavyweight,Eric Schafer,def.,Antonio Mendes,TKO (punches),1.0,3:35,-,215
2009-01-17,UFC 93: Franklin vs. Henderson,Welterweight,Martin Kampmann,def.,Alexandre Barros,TKO (punches),2.0,3:09,-,189
2009-01-17,UFC 93: Franklin vs. Henderson,Welterweight,John Hathaway,def.,Tom Egan,TKO (elbows),1.0,4:36,-,276
2009-01-17,UFC 93: Franklin vs. Henderson,Welterweight,Marcus Davis,def.,Chris Lytle,"Decision (split) (29–28, 28–29, 29–28)",3.0,5:00,-,300
2009-01-17,UFC 93: Franklin vs. Henderson,Middleweight,Alan Belcher,def.,Denis Kang,Submission (guillotine choke),2.0,4:36,-,276
2009-01-17,UFC 93: Franklin vs. Henderson,Light Heavyweight,Maurício Rua,def.,Mark Coleman,TKO (punches),3.0,4:36,-,276
2009-01-17,UFC 93: Franklin vs. Henderson,Light Heavyweight,Dan Henderson,def.,Rich Franklin,"Decision (split) (29–28, 27–30, 29–28)",3.0,5:00,-,300
2009-01-31,UFC 94: St-Pierre vs. Penn 2,Welterweight,Dan Cramer,def.,Matt Arroyo,"Decision (split) (29–28, 28–29, 29–28)",3.0,5:00,-,300
2009-01-31,UFC 94: St-Pierre vs. Penn 2,Welterweight,John Howard,def.,Chris Wilson,"Decision (split) (29–28, 28–29, 29–28)",3.0,5:00,-,300
2009-01-31,UFC 94: St-Pierre vs. Penn 2,Welterweight,Georges St-Pierre (c),def.,B.J. Penn,TKO (corner stoppage),4.0,5:00,[a],300
2009-01-31,UFC 94: St-Pierre vs. Penn 2,Lightweight,Thiago Tavares,def.,Manvel Gamburyan,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2009-01-31,UFC 94: St-Pierre vs. Penn 2,Welterweight,Jon Fitch,def.,Akihiro Gono,"Decision (unanimous) (30–27, 30–27, 30–26)",3.0,5:00,-,300
2009-01-31,UFC 94: St-Pierre vs. Penn 2,Lightweight,Clay Guida,def.,Nate Diaz,"Decision (split) (28–29, 29–28, 29–28)",3.0,5:00,-,300
2009-01-31,UFC 94: St-Pierre vs. Penn 2,Welterweight,Karo Parisyan,vs.,Dong Hyun Kim,No Contest (overturned),3.0,5:00,[b],300
2009-01-31,UFC 94: St-Pierre vs. Penn 2,Light Heavyweight,Jon Jones,def.,Stephan Bonnar,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,5:00,-,300
2009-01-31,UFC 94: St-Pierre vs. Penn 2,Light Heavyweight,Lyoto Machida,def.,Thiago Silva,KO (punch),1.0,4:59,-,299
2009-01-31,UFC 94: St-Pierre vs. Penn 2,Light Heavyweight,Jake O'Brien,def.,Christian Wellisch,"Decision (split) (28–29, 29–28, 29–28)",3.0,5:00,-,300
2009-02-07,UFC Fight Night: Lauzon vs. Stephens,Heavyweight,Cain Velasquez,def.,Denis Stojnić,TKO (punches),2.0,2:34,-,154
2009-02-07,UFC Fight Night: Lauzon vs. Stephens,Lightweight,Josh Neer,def.,Mac Danzig,Submission (triangle choke),2.0,3:36,-,216
2009-02-07,UFC Fight Night: Lauzon vs. Stephens,Welterweight,Anthony Johnson,def.,Luigi Fioravanti,TKO (punches),1.0,4:39,-,279
2009-02-07,UFC Fight Night: Lauzon vs. Stephens,Lightweight,Matt Veach,def.,Matt Grice,TKO (punches),1.0,4:34,-,274
2009-02-07,UFC Fight Night: Lauzon vs. Stephens,Middleweight,Dan Miller,def.,Jake Rosholt,Submission (guillotine choke),1.0,1:03,[a],63
2009-02-07,UFC Fight Night: Lauzon vs. Stephens,Welterweight,Matthew Riddle,def.,Steve Bruno,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2009-02-07,UFC Fight Night: Lauzon vs. Stephens,Lightweight,Joe Lauzon,def.,Jeremy Stephens,Submission (armbar),2.0,4:43,-,283
2009-02-07,UFC Fight Night: Lauzon vs. Stephens,Lightweight,Kurt Pellegrino,def.,Rob Emerson,Submission (rear-naked choke),2.0,3:14,-,194
2009-02-07,UFC Fight Night: Lauzon vs. Stephens,Middleweight,Nick Catone,def.,Derek Downey,Submission (keylock),2.0,1:15,-,75
2009-02-07,UFC Fight Night: Lauzon vs. Stephens,Lightweight,Gleison Tibau,def.,Rich Clementi,Submission (guillotine choke),1.0,4:35,[b],275
2009-02-21,UFC 95: Sanchez vs. Stevenson,Welterweight,Paulo Thiago,def.,Josh Koscheck,KO (punches),1.0,3:29,-,209
2009-02-21,UFC 95: Sanchez vs. Stevenson,Welterweight,Dan Hardy,def.,Rory Markham,KO (punch),1.0,1:09,-,69
2009-02-21,UFC 95: Sanchez vs. Stevenson,Middleweight,Nate Marquardt,def.,Wilson Gouveia,TKO (knee and punches),3.0,3:10,-,190
2009-02-21,UFC 95: Sanchez vs. Stevenson,Middleweight,Demian Maia,def.,Chael Sonnen,Submission (triangle choke),1.0,2:37,-,157
2009-02-21,UFC 95: Sanchez vs. Stevenson,Lightweight,Terry Etim,def.,Brian Cobb,TKO (head kick and punches),2.0,0:10,-,10
2009-02-21,UFC 95: Sanchez vs. Stevenson,Lightweight,Diego Sanchez,def.,Joe Stevenson,"Decision (unanimous) (29–28, 30–27, 30–27)",3.0,5:00,-,300
2009-02-21,UFC 95: Sanchez vs. Stevenson,Lightweight,Evan Dunham,def.,Per Eklund,KO (punches),1.0,2:14,-,134
2009-02-21,UFC 95: Sanchez vs. Stevenson,Heavyweight,Mike Ciesnolevicz,def.,Neil Grove,Submission (heel hook),1.0,1:03,-,63
2009-02-21,UFC 95: Sanchez vs. Stevenson,Welterweight,Paul Kelly,def.,Troy Mandaloniz,"Decision (unanimous) (30–27, 30–27, 30–28)",3.0,5:00,-,300
2009-02-21,UFC 95: Sanchez vs. Stevenson,Heavyweight,Junior dos Santos,def.,Stefan Struve,TKO (punches),1.0,0:54,-,54
2009-03-07,UFC 96: Jackson vs. Jardine,Heavyweight,Shane Carwin,def.,Gabriel Gonzaga,KO (punch),1.0,1:09,-,69
2009-03-07,UFC 96: Jackson vs. Jardine,Lightweight,Shane Nelson,def.,Aaron Riley,TKO (punches),1.0,0:44,-,44
2009-03-07,UFC 96: Jackson vs. Jardine,Light Heavyweight,Brandon Vera,def.,Michael Patt,TKO (leg kicks),2.0,1:27,-,87
2009-03-07,UFC 96: Jackson vs. Jardine,Light Heavyweight,Jason Brilz,def.,Tim Boetsch,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2009-03-07,UFC 96: Jackson vs. Jardine,Middleweight,Kendall Grove,def.,Jason Day,TKO (punches and elbows),1.0,1:32,-,92
2009-03-07,UFC 96: Jackson vs. Jardine,Welterweight,Tamdan McCrory,def.,Ryan Madigan,TKO (punches),1.0,3:35,-,215
2009-03-07,UFC 96: Jackson vs. Jardine,Lightweight,Gray Maynard,def.,Jim Miller,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2009-03-07,UFC 96: Jackson vs. Jardine,Light Heavyweight,Matt Hamill,def.,Mark Munoz,KO (head kick),1.0,3:53,-,233
2009-03-07,UFC 96: Jackson vs. Jardine,Welterweight,Matt Brown,def.,Pete Sell,TKO (punches),1.0,1:32,-,92
2009-03-07,UFC 96: Jackson vs. Jardine,Light Heavyweight,Quinton Jackson,def.,Keith Jardine,"Decision (unanimous) (29–28, 29–28, 30–27)",3.0,5:00,-,300
2009-04-01,UFC Fight Night: Condit vs. Kampmann,Middleweight,Aaron Simpson,def.,Tim McKenzie,TKO (punches),1.0,1:40,-,100
2009-04-01,UFC Fight Night: Condit vs. Kampmann,Middleweight,Rob Kimmons,def.,Joe Vedepo,Technical Submission (guillotine choke),1.0,1:54,-,114
2009-04-01,UFC Fight Night: Condit vs. Kampmann,Middleweight,Jorge Rivera,def.,Nissen Osterneck,"Decision (split) (29–28, 28–29, 29–28)",3.0,5:00,-,300
2009-04-01,UFC Fight Night: Condit vs. Kampmann,Middleweight,Tim Credeur,def.,Nick Catone,Submission (guillotine choke),2.0,3:45,-,225
2009-04-01,UFC Fight Night: Condit vs. Kampmann,Welterweight,Brock Larson,def.,Jesse Sanders,Submission (rear-naked choke),1.0,2:01,-,121
2009-04-01,UFC Fight Night: Condit vs. Kampmann,Middleweight,Ricardo Almeida,def.,Matt Horwich,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2009-04-01,UFC Fight Night: Condit vs. Kampmann,Catchweight (158 lbs),Gleison Tibau,def.,Jeremy Stephens,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,5:00,-,300
2009-04-01,UFC Fight Night: Condit vs. Kampmann,Lightweight,Cole Miller,def.,Junie Browning,Submission (guillotine choke),1.0,1:58,-,118
2009-04-01,UFC Fight Night: Condit vs. Kampmann,Lightweight,Tyson Griffin,def.,Rafael dos Anjos,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2009-04-01,UFC Fight Night: Condit vs. Kampmann,Light Heavyweight,Ryan Bader,def.,Carmelo Marrero,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2009-04-01,UFC Fight Night: Condit vs. Kampmann,Welterweight,Martin Kampmann,def.,Carlos Condit,"Decision (split) (29–28, 28–29, 29–28)",3.0,5:00,-,300
2009-04-18,UFC 97: Redemption,Lightweight,Sam Stout,def.,Matt Wiman,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2009-04-18,UFC 97: Redemption,Middleweight,Anderson Silva (c),def.,Thales Leites,"Decision (unanimous) (49–46, 48–47, 50–46)",5.0,5:00,[a],300
2009-04-18,UFC 97: Redemption,Heavyweight,Cheick Kongo,def.,Antoni Hardonk,TKO (punches),2.0,2:29,-,149
2009-04-18,UFC 97: Redemption,Light Heavyweight,Luiz Cane,def.,Steve Cantwell,"Decision (unanimous) (29–28, 30–27, 30–27)",3.0,5:00,-,300
2009-04-18,UFC 97: Redemption,Middleweight,Denis Kang,def.,Xavier Foupa-Pokam,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2009-04-18,UFC 97: Redemption,Light Heavyweight,Krzysztof Soszynski,def.,Brian Stann,Submission (kimura),1.0,3:53,-,233
2009-04-18,UFC 97: Redemption,Middleweight,Ed Herman,def.,David Loiseau,"Decision (unanimous) (30–26, 30–27, 30–27)",3.0,5:00,-,300
2009-04-18,UFC 97: Redemption,Light Heavyweight,Maurício Rua,def.,Chuck Liddell,TKO (punches),1.0,4:28,-,268
2009-04-18,UFC 97: Redemption,Lightweight,Mark Bocek,def.,David Bielkheden,Submission (rear-naked choke),1.0,4:57,[b],297
2009-04-18,UFC 97: Redemption,Welterweight,TJ Grant,def.,Ryo Chonan,"Decision (split) (30–27, 28–29, 29–28)",3.0,5:00,-,300
2009-04-18,UFC 97: Redemption,Middleweight,Nate Quarry,def.,Jason MacDonald,TKO (elbows),1.0,2:27,-,147
2009-04-18,UFC 97: Redemption,Light Heavyweight,Eliot Marshall,def.,Vinny Magalhães,"Decision (unanimous) (29–28, 30–27, 30–27)",3.0,5:00,-,300
2009-05-23,UFC 98: Evans vs. Machida,Light Heavyweight,Lyoto Machida,def.,Rashad Evans (c),KO (punches),2.0,3:57,[a],237
2009-05-23,UFC 98: Evans vs. Machida,Welterweight,Matt Hughes,def.,Matt Serra,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2009-05-23,UFC 98: Evans vs. Machida,Middleweight,Drew McFedries,def.,Xavier Foupa-Pokam,TKO (punches),1.0,0:37,-,37
2009-05-23,UFC 98: Evans vs. Machida,Middleweight,Chael Sonnen,def.,Dan Miller,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2009-05-23,UFC 98: Evans vs. Machida,Lightweight,Kyle Bradley,def.,Phillipe Nover,TKO (punches),1.0,1:03,-,63
2009-05-23,UFC 98: Evans vs. Machida,Welterweight,Brock Larson,def.,Mike Pyle,Submission (arm-triangle choke),1.0,3:06,[b],186
2009-05-23,UFC 98: Evans vs. Machida,Heavyweight,Tim Hague,def.,Pat Barry,Submission (guillotine choke),1.0,1:42,-,102
2009-05-23,UFC 98: Evans vs. Machida,Light Heavyweight,Krzysztof Soszynski,def.,Andre Gusmao,KO (punches),1.0,3:17,-,197
2009-05-23,UFC 98: Evans vs. Machida,Welterweight,Yoshiyuki Yoshida,def.,Brandon Wolff,Submission (guillotine choke),1.0,2:24,-,144
2009-05-23,UFC 98: Evans vs. Machida,Lightweight,George Roop,def.,Dave Kaplan,"Decision (split) (28–29, 30–27, 30–27)",3.0,5:00,-,300
2009-05-23,UFC 98: Evans vs. Machida,Lightweight,Frankie Edgar,def.,Sean Sherk,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2009-06-13,UFC 99: The Comeback,Catchweight (195 lbs),Rich Franklin,def.,Wanderlei Silva,"Decision (unanimous) (30–27, 29–28, 30–27)",3.0,5:00,-,300
2009-06-13,UFC 99: The Comeback,Heavyweight,Cain Velasquez,def.,Cheick Kongo,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2009-06-13,UFC 99: The Comeback,Heavyweight,Mirko Cro Cop,def.,Mostapha al-Turk,TKO (punches),1.0,3:06,-,186
2009-06-13,UFC 99: The Comeback,Welterweight,Mike Swick,def.,Ben Saunders,TKO (punches),2.0,3:47,-,227
2009-06-13,UFC 99: The Comeback,Lightweight,Spencer Fisher,def.,Caol Uno,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2009-06-13,UFC 99: The Comeback,Welterweight,Dan Hardy,def.,Marcus Davis,"Decision (split) (29–28, 28–29, 29–28)",3.0,5:00,-,300
2009-06-13,UFC 99: The Comeback,Lightweight,Dennis Siver,def.,Dale Hartt,Submission (rear-naked choke),1.0,3:23,-,203
2009-06-13,UFC 99: The Comeback,Welterweight,Paul Taylor,def.,Peter Sobotta,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2009-06-13,UFC 99: The Comeback,Lightweight,Paul Kelly,def.,Rolando Delgado,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2009-06-13,UFC 99: The Comeback,Heavyweight,Stefan Struve,def.,Denis Stojnić,Submission (rear-naked choke),2.0,2:37,-,157
2009-06-13,UFC 99: The Comeback,Lightweight,Terry Etim,def.,Justin Buchholz,Submission (D'Arce choke),2.0,2:38,-,158
2009-06-13,UFC 99: The Comeback,Welterweight,John Hathaway,def.,Rick Story,"Decision (unanimous) (29–28, 30–27, 29–28)",3.0,5:00,-,300
2009-06-20,The Ultimate Fighter: United States vs. United Kingdom Finale,Lightweight,Jason Dent,def.,Cameron Dollar,Submission (anaconda choke),1.0,4:46,-,286
2009-06-20,The Ultimate Fighter: United States vs. United Kingdom Finale,Welterweight,Nick Osipczak,def.,Frank Lester,Submission (rear-naked choke),1.0,3:40,-,220
2009-06-20,The Ultimate Fighter: United States vs. United Kingdom Finale,Catchweight (208 lbs),Tomasz Drwal,def.,Mike Ciesnolevicz,TKO (knee and punches),1.0,4:48,[c],288
2009-06-20,The Ultimate Fighter: United States vs. United Kingdom Finale,Lightweight,Ross Pearson,def.,Andre Winner,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,[b],300
2009-06-20,The Ultimate Fighter: United States vs. United Kingdom Finale,Lightweight,Melvin Guillard,def.,Gleison Tibau,"Decision (split) (29–28, 28–29, 29–28)",3.0,5:00,-,300
2009-06-20,The Ultimate Fighter: United States vs. United Kingdom Finale,Welterweight,Brad Blackburn,def.,Edgar Garcia,"Decision (split) (28–29, 29–28, 29–28)",3.0,5:00,-,300
2009-06-20,The Ultimate Fighter: United States vs. United Kingdom Finale,Lightweight,Joe Stevenson,def.,Nate Diaz,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2009-06-20,The Ultimate Fighter: United States vs. United Kingdom Finale,Welterweight,Chris Lytle,def.,Kevin Burns,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2009-06-20,The Ultimate Fighter: United States vs. United Kingdom Finale,Lightweight,Diego Sanchez,def.,Clay Guida,"Decision (split) (28–29, 29–27, 29–28)",3.0,5:00,-,300
2009-06-20,The Ultimate Fighter: United States vs. United Kingdom Finale,Welterweight,James Wilks,def.,DaMarques Johnson,Submission (rear-naked choke),1.0,4:54,[a],294
2009-07-11,UFC 100,Heavyweight,Brock Lesnar (c),def.,Frank Mir (ic),TKO (punches),2.0,1:48,[a],108
2009-07-11,UFC 100,Welterweight,Georges St-Pierre (c),def.,Thiago Alves,"Decision (unanimous) (50–45, 50–44, 50–45)",5.0,5:00,[b],300
2009-07-11,UFC 100,Welterweight,Jon Fitch,def.,Paulo Thiago,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,5:00,[d],300
2009-07-11,UFC 100,Middleweight,Yoshihiro Akiyama,def.,Alan Belcher,"Decision (split) (30–27, 28–29, 29–28)",3.0,5:00,-,300
2009-07-11,UFC 100,Lightweight,Shannon Gugerty,def.,Matt Grice,Technical Submission (guillotine choke),1.0,2:36,-,156
2009-07-11,UFC 100,Light Heavyweight,Jon Jones,def.,Jake O'Brien,Submission (modified guillotine choke),2.0,2:43,-,163
2009-07-11,UFC 100,Lightweight,Jim Miller,def.,Mac Danzig,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2009-07-11,UFC 100,Welterweight,Dong Hyun Kim,def.,TJ Grant,"Decision (unanimous) (30–26, 30–26, 30–26)",3.0,5:00,-,300
2009-07-11,UFC 100,Middleweight,Tom Lawlor,def.,C.B. Dollaway,Technical Submission (guillotine choke),1.0,0:55,-,55
2009-07-11,UFC 100,Light Heavyweight,Mark Coleman,def.,Stephan Bonnar,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2009-07-11,UFC 100,Middleweight,Dan Henderson,def.,Michael Bisping,KO (punch),2.0,3:20,[c],200
2009-08-08,UFC 101: Declaration,Welterweight,Johny Hendricks,def,Amir Sadollah,TKO (punches),1.0,0:29,-,29
2009-08-08,UFC 101: Declaration,Lightweight,B.J. Penn (c),def,Kenny Florian,Submission (rear-naked choke),4.0,3:54,[a],234
2009-08-08,UFC 101: Declaration,Light Heavyweight,Anderson Silva,def,Forrest Griffin,KO (punch),1.0,3:23,-,203
2009-08-08,UFC 101: Declaration,Lightweight,Aaron Riley,def,Shane Nelson,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,[b],300
2009-08-08,UFC 101: Declaration,Middleweight,Ricardo Almeida,def,Kendall Grove,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2009-08-08,UFC 101: Declaration,Welterweight,John Howard,def,Tamdan McCrory,"Decision (split) (29–28, 28–29, 29–28)",3.0,5:00,-,300
2009-08-08,UFC 101: Declaration,Middleweight,Alessio Sakara,def,Thales Leites,"Decision (split) (29–28, 27–30, 29–28)",3.0,5:00,-,300
2009-08-08,UFC 101: Declaration,Welterweight,Matthew Riddle,def,Dan Cramer,"Decision (unanimous) (29–27, 30–26, 30–27)",3.0,5:00,-,300
2009-08-08,UFC 101: Declaration,Lightweight,George Sotiropoulos,def,George Roop,Submission (kimura),2.0,1:59,-,119
2009-08-08,UFC 101: Declaration,Welterweight,Jesse Lennox,def,Danillo Villefort,TKO (doctor stoppage),3.0,3:33,-,213
2009-08-08,UFC 101: Declaration,Lightweight,Kurt Pellegrino,def,Josh Neer,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2009-08-29,UFC 102: Couture vs. Nogueira,Light Heavyweight,Thiago Silva,def,Keith Jardine,KO (punches),1.0,1:35,-,95
2009-08-29,UFC 102: Couture vs. Nogueira,Middleweight,Jake Rosholt,def,Chris Leben,Technical Submission (arm-triangle choke),3.0,1:30,-,90
2009-08-29,UFC 102: Couture vs. Nogueira,Middleweight,Nate Marquardt,def,Demian Maia,KO (punch),1.0,0:21,-,21
2009-08-29,UFC 102: Couture vs. Nogueira,Light Heavyweight,Brandon Vera,def,Krzysztof Soszynski,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2009-08-29,UFC 102: Couture vs. Nogueira,Heavyweight,Antônio Rodrigo Nogueira,def,Randy Couture,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,5:00,-,300
2009-08-29,UFC 102: Couture vs. Nogueira,Heavyweight,Mike Russow,def,Justin McCully,"Decision (unanimous) (29–28, 30–26, 30–27)",3.0,5:00,-,300
2009-08-29,UFC 102: Couture vs. Nogueira,Heavyweight,Todd Duffee,def,Tim Hague,KO (punches),1.0,0:07,-,7
2009-08-29,UFC 102: Couture vs. Nogueira,Middleweight,Mark Muñoz,def,Nick Catone,"Decision (split) (28–29, 30–27, 29–28)",3.0,5:00,-,300
2009-08-29,UFC 102: Couture vs. Nogueira,Lightweight,Evan Dunham,def,Marcus Aurelio,"Decision (split) (28–29, 29–28, 30–27)",3.0,5:00,-,300
2009-08-29,UFC 102: Couture vs. Nogueira,Middleweight,Aaron Simpson,def,Ed Herman,TKO (knee injury),2.0,0:17,-,17
2009-08-29,UFC 102: Couture vs. Nogueira,Heavyweight,Gabriel Gonzaga,def,Chris Tuchscherer,TKO (punches),1.0,2:27,-,147
2009-09-16,UFC Fight Night: Diaz vs. Guillard,Middleweight,Ryan Jensen,def.,Steve Steinbeiss,Technical Submission (guillotine choke),1.0,3:56,-,236
2009-09-16,UFC Fight Night: Diaz vs. Guillard,Lightweight,Jeremy Stephens,def.,Justin Buchholz,TKO (doctor stoppage),1.0,3:23,-,203
2009-09-16,UFC Fight Night: Diaz vs. Guillard,Middleweight,C.B. Dollaway,def.,Jay Silva,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,-,300
2009-09-16,UFC Fight Night: Diaz vs. Guillard,Welterweight,Mike Pyle,def.,Chris Wilson,Submission (guillotine choke),3.0,2:15,-,135
2009-09-16,UFC Fight Night: Diaz vs. Guillard,Light Heavyweight,Brian Stann,def.,Steve Cantwell,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,5:00,-,300
2009-09-16,UFC Fight Night: Diaz vs. Guillard,Middleweight,Nate Quarry,def.,Tim Credeur,"Decision (unanimous) (29–28, 29–27, 29–28)",3.0,5:00,-,300
2009-09-16,UFC Fight Night: Diaz vs. Guillard,Welterweight,Carlos Condit,def.,Jake Ellenberger,"Decision (split) (29–28, 28–29, 29–28)",3.0,5:00,-,300
2009-09-16,UFC Fight Night: Diaz vs. Guillard,Lightweight,Gray Maynard,def.,Roger Huerta,"Decision (split) (28–29, 30–27, 30–27)",3.0,5:00,-,300
2009-09-16,UFC Fight Night: Diaz vs. Guillard,Lightweight,Nate Diaz,def.,Melvin Guillard,Submission (guillotine choke),2.0,2:13,-,133
2009-09-16,UFC Fight Night: Diaz vs. Guillard,Welterweight,Mike Pierce,def.,Brock Larson,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2009-09-19,UFC 103: Franklin vs. Belfort,Catchweight (195 lbs),Vitor Belfort,def.,Rich Franklin,KO (punches),1.0,3:02,-,182
2009-09-19,UFC 103: Franklin vs. Belfort,Heavyweight,Junior dos Santos,def.,Mirko Cro Cop,Verbal submission (eye injury),3.0,2:00,-,120
2009-09-19,UFC 103: Franklin vs. Belfort,Welterweight,Josh Koscheck,def.,Frank Trigg,TKO (punches),1.0,1:25,-,85
2009-09-19,UFC 103: Franklin vs. Belfort,Catchweight (159 lbs),Tyson Griffin,def.,Hermes França,KO (punches),2.0,3:26,-,206
2009-09-19,UFC 103: Franklin vs. Belfort,Lightweight,Efrain Escudero,def.,Cole Miller,TKO (punches),1.0,3:36,-,216
2009-09-19,UFC 103: Franklin vs. Belfort,Welterweight,Paul Daley,def.,Martin Kampmann,TKO (punches),1.0,2:31,-,151
2009-09-19,UFC 103: Franklin vs. Belfort,Lightweight,Jim Miller,def.,Steve Lopez,TKO (shoulder injury),2.0,0:48,-,48
2009-09-19,UFC 103: Franklin vs. Belfort,Lightweight,Nik Lentz,def.,Rafaello Oliveira,"Decision (unanimous) (29–28, 29–28, 30–27)",3.0,5:00,-,300
2009-09-19,UFC 103: Franklin vs. Belfort,Welterweight,Rick Story,def.,Brian Foster,Submission (arm-triangle choke),2.0,1:09,-,69
2009-09-19,UFC 103: Franklin vs. Belfort,Light Heavyweight,Eliot Marshall,def.,Jason Brilz,"Decision (split) (27–30, 30–27, 30–27)",3.0,5:00,-,300
2009-09-19,UFC 103: Franklin vs. Belfort,Light Heavyweight,Vladimir Matyushenko,def.,Igor Pokrajac,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2009-09-19,UFC 103: Franklin vs. Belfort,Lightweight,Rafael dos Anjos,def.,Rob Emerson,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2009-09-19,UFC 103: Franklin vs. Belfort,Middleweight,Tomasz Drwal,def.,Drew McFedries,Submission (rear-naked choke),2.0,1:03,-,63
2009-10-24,UFC 104: Machida vs. Shogun,Light Heavyweight,Lyoto Machida (c),def,Maurício Rua,"Decision (unanimous) (48–47, 48–47, 48–47)",5.0,5:00,[a],300
2009-10-24,UFC 104: Machida vs. Shogun,Heavyweight,Cain Velasquez,def,Ben Rothwell,TKO (punches),2.0,0:58,-,58
2009-10-24,UFC 104: Machida vs. Shogun,Catchweight (157 lb),Gleison Tibau,def,Josh Neer,"Decision (unanimous) (30–27, 30–27, 29–28)",3.0,5:00,-,300
2009-10-24,UFC 104: Machida vs. Shogun,Lightweight,Joe Stevenson,def,Spencer Fisher,Submission (strikes),2.0,4:03,-,243
2009-10-24,UFC 104: Machida vs. Shogun,Catchweight (176 lb),Anthony Johnson,def,Yoshiyuki Yoshida,TKO (punches),1.0,0:41,-,41
2009-10-24,UFC 104: Machida vs. Shogun,Heavyweight,Pat Barry,def,Antoni Hardonk,TKO (punches),2.0,2:30,-,150
2009-10-24,UFC 104: Machida vs. Shogun,Middleweight,Chael Sonnen,def,Yushin Okami,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,-,300
2009-10-24,UFC 104: Machida vs. Shogun,Middleweight,Jorge Rivera,def,Rob Kimmons,TKO (punches),3.0,1:53,-,113
2009-10-24,UFC 104: Machida vs. Shogun,Light Heavyweight,Kyle Kingsbury,def,Razak Al-Hassan,"Decision (split) (28–29, 29–28, 29–28)",3.0,5:00,-,300
2009-10-24,UFC 104: Machida vs. Shogun,Heavyweight,Stefan Struve,def,Chase Gormley,Submission (triangle choke),1.0,4:04,-,244
